time,GM_main,baseforce,acc_2,acc_4,acc_6,acc_8,acc_10,vel_2,vel_4,vel_6,vel_8,vel_10,dis_2,dis_4,dis_6,dis_8,dis_10
0.0,-0.0009830963999999998,-282.554,0.00589198,0.00627457,0.00628502,0.0062853,0.00628532,5.89198e-05,6.27457e-05,6.28502e-05,6.2853e-05,6.28532e-05,5.89198e-07,6.27457e-07,6.28502e-07,6.2853e-07,6.28532e-07
0.02,-0.006328947,-1210.46,0.00465089,0.00661261,0.00672065,0.00672494,0.00672535,0.000164349,0.000191617,0.000192907,0.000192955,0.00019296,2.82188e-06,3.17109e-06,3.18607e-06,3.18661e-06,3.18666e-06
0.04,-0.006859347,-1634.14,-0.0168034,-0.0138345,-0.0133527,-0.0133222,-0.0133185,4.28236e-05,0.000119399,0.000126586,0.000126983,0.000127029,4.8936e-06,6.28125e-06,6.381e-06,6.386e-06,6.38654e-06
0.06,0.013229553,-1358.78,0.0139953,0.014145,0.0153387,0.015471,0.0154917,1.47425e-05,0.000122505,0.000146446,0.000148471,0.000148761,5.46926e-06,8.70029e-06,9.11133e-06,9.14054e-06,9.14444e-06
0.08,-0.015600491999999999,-2094.05,-0.00146715,-0.00438463,-0.00268149,-0.00229628,-0.00221612,0.000140024,0.000220109,0.000273019,0.000280218,0.000281517,7.01693e-06,1.21264e-05,1.3306e-05,1.34274e-05,1.34472e-05
0.1,0.0019916265,-2871.91,-0.0065826,-0.0074496,-0.00633756,-0.00555516,-0.00533206,5.95263e-05,0.000101766,0.000182829,0.000201704,0.000206035,9.01243e-06,1.53452e-05,1.78645e-05,1.82466e-05,1.83227e-05
0.12,0.0050729495999999995,-3309.04,0.0145945,0.01701,0.0165137,0.0175996,0.0180501,0.000139645,0.000197371,0.00028459,0.000322148,0.000333215,1.10041e-05,1.83365e-05,2.25386e-05,2.34852e-05,2.37153e-05
0.14,-0.018644936999999997,-4926.21,-7.31041e-05,0.00291919,0.00142328,0.00231362,0.00294519,0.000284859,0.000396663,0.000463959,0.00052128,0.000543168,1.52492e-05,2.42769e-05,3.00241e-05,3.19194e-05,3.24791e-05
0.16,-0.0042348309,-6225.63,-0.0110489,-0.00820562,-0.00865424,-0.00859949,-0.00810084,0.000173639,0.000343799,0.00039165,0.000458422,0.000491612,1.98342e-05,3.16815e-05,3.85802e-05,4.17165e-05,4.28269e-05
0.18,0.00590019,-5851.82,-0.00628971,-0.00628638,-0.00441462,-0.00530322,-0.00541904,2.52115e-07,0.000198879,0.000260961,0.000319394,0.000356413,2.15731e-05,3.71083e-05,4.51063e-05,4.94946e-05,5.13071e-05
0.2,0.0020777706,-5303.73,-0.000379941,-0.0071117,-0.00419242,-0.00523404,-0.00614522,-6.64444e-05,6.48982e-05,0.000174891,0.000214022,0.00024077,2.09112e-05,3.97461e-05,4.94649e-05,5.48288e-05,5.7279e-05
0.22,0.0017618919,-6385.36,0.0217263,0.0141654,0.01499,0.0148545,0.013735,0.00014702,0.000135435,0.000282867,0.000310227,0.000316668,2.17169e-05,4.17494e-05,5.40424e-05,6.00713e-05,6.28534e-05
0.24,-0.018698436,-8733.16,-0.00221128,0.00123195,-0.00218167,-0.00129219,-0.00151808,0.00034217,0.000289409,0.00041095,0.00044585,0.000438837,2.66088e-05,4.59978e-05,6.09806e-05,6.7632e-05,7.04084e-05
0.26,-0.0033719924999999996,-9389.75,-0.023035,-0.0116123,-0.0174641,-0.0167919,-0.0156353,8.97072e-05,0.000185606,0.000214492,0.000265009,0.000267302,3.09276e-05,5.0748e-05,6.7235e-05,7.47406e-05,7.74698e-05
0.28,0.011116929,-7144.68,-0.0174368,-0.0172504,-0.0203171,-0.0213199,-0.0198435,-0.000315011,-0.000103021,-0.00016332,-0.000116109,-8.74858e-05,2.86745e-05,5.15738e-05,6.77468e-05,7.62296e-05,7.9268e-05
0.3,0.015065960999999998,-4526.32,0.00755685,-0.0106594,-0.00792895,-0.0105439,-0.0107047,-0.000413811,-0.000382119,-0.00044578,-0.000434747,-0.000392968,2.13863e-05,4.67224e-05,6.16558e-05,7.0721e-05,7.44634e-05
0.32,0.0047399757,-4293.58,0.0234383,0.00629495,0.0103392,0.00801639,0.00548662,-0.000103859,-0.000425763,-0.000421678,-0.000460023,-0.000445148,1.62096e-05,3.86436e-05,5.29812e-05,6.17733e-05,6.60823e-05
