time,GM_main,baseforce,acc_2,acc_4,acc_6,acc_8,acc_10,vel_2,vel_4,vel_6,vel_8,vel_10,dis_2,dis_4,dis_6,dis_8,dis_10
0.0,-0.02685762,-97.4015,0.00203107,0.00216296,0.00216656,0.00216666,0.00216666,2.03107e-05,2.16296e-05,2.16656e-05,2.16666e-05,2.16666e-05,2.03107e-07,2.16296e-07,2.16656e-07,2.16666e-07,2.16666e-07
0.02,-0.0021817035,126.401,-0.00973364,-0.00979353,-0.0097764,-0.00977546,-0.00977536,-5.67149e-05,-5.46762e-05,-5.44328e-05,-5.44214e-05,-5.44203e-05,-1.60934e-07,-1.1417e-07,-1.11016e-07,-1.10883e-07,-1.1087e-07
0.04,0.009813114,924.363,0.00280372,0.00119182,0.00118113,0.00118423,0.00118479,-0.000126014,-0.000140693,-0.000140385,-0.000140334,-0.000140326,-1.98822e-06,-2.06787e-06,-2.0592e-06,-2.05843e-06,-2.05833e-06
0.06,-0.001087524,27.599,0.0310665,0.0299524,0.0297233,0.029722,0.0297231,0.000212688,0.000170749,0.000168659,0.000168728,0.000168753,-1.12149e-06,-1.76731e-06,-1.77646e-06,-1.77449e-06,-1.77406e-06
0.08,-0.029840916,-4588.32,0.0258813,0.0345225,0.034093,0.0340534,0.0340512,0.000782165,0.000815498,0.000806822,0.000806482,0.000806496,8.82704e-06,8.09516e-06,7.97834e-06,7.97761e-06,7.97843e-06
0.1,-0.034612425,-9870.0,-0.0169529,0.00477265,0.00561435,0.00551007,0.00548951,0.000871449,0.00120845,0.00120389,0.00120212,0.0012019,2.53632e-05,2.83346e-05,2.80855e-05,2.80636e-05,2.80624e-05
0.12,-0.006322929,-14143.8,0.0238561,0.0438143,0.0494205,0.04948,0.0494367,0.000940482,0.00169432,0.00175424,0.00175202,0.00175116,4.34825e-05,5.73623e-05,5.76669e-05,5.76049e-05,5.75931e-05
0.14,-0.050635146,-20369.0,0.00421234,0.009541,0.022541,0.0237183,0.0237843,0.00122117,0.00222787,0.00247386,0.002484,0.00248337,6.5099e-05,9.65843e-05,9.99479e-05,9.99651e-05,9.99385e-05
0.16,-0.025460831999999996,-27708.5,-0.00383646,-0.00503956,0.0123698,0.0164673,0.0171669,0.00122493,0.00227289,0.00282297,0.00288586,0.00289289,8.95599e-05,0.000141592,0.000152916,0.000153664,0.000153701
0.18,-0.019199562,-33089.1,-0.0216193,-0.0209497,-0.00748981,0.00106129,0.00343755,0.000970367,0.00201299,0.00287177,0.00306114,0.00309893,0.000111513,0.000184451,0.000209863,0.000213134,0.000213619
0.2,-0.006270041999999999,-36535.4,-0.0129354,-0.0185741,-0.0155825,-0.00347349,0.00157889,0.00062482,0.00161776,0.00264104,0.00303702,0.0031491,0.000127465,0.000220758,0.000264992,0.000274115,0.0002761
0.22,-0.006823697999999999,-39656.7,0.00237925,-0.0138231,-0.0204073,-0.0091318,-0.00187874,0.000519258,0.00129378,0.00228114,0.00291097,0.0031461,0.000138905,0.000249874,0.000314213,0.000333595,0.000339051
0.24,-0.009141291,-44028.0,0.0199058,0.00714123,-0.00386079,0.000753215,0.00709197,0.000742108,0.00122697,0.00203846,0.00282718,0.00319823,0.000151519,0.000275081,0.000357409,0.000390977,0.000402495
0.26,-0.028560713999999997,-50151.5,0.00830101,0.011904,2.79822e-05,-0.00533663,-0.00460131,0.00102418,0.00141742,0.00200013,0.00278135,0.00322314,0.000169182,0.000301525,0.000397795,0.000447062,0.000466708
0.28,-0.031097096999999997,-55029.0,-0.037259,-0.0253091,-0.0359635,-0.0500824,-0.0576173,0.000734596,0.00128337,0.00164078,0.00222716,0.00260095,0.00018677,0.000328533,0.000434204,0.000497147,0.000524949
0.3,0.008110376999999998,-56826.6,0.00455489,0.00517734,-0.000868352,-0.0194076,-0.032751,0.000407554,0.00108205,0.00127246,0.00153226,0.00169727,0.000198191,0.000352187,0.000463337,0.000534741,0.000567931
0.32,-0.025105259999999997,-58354.9,-0.0118993,-0.0279296,-0.0278837,-0.0456407,-0.0582992,0.000334111,0.000854526,0.000984939,0.000881773,0.000786765,0.000205608,0.000371553,0.000485911,0.000558881,0.000592772
0.34,0.0008603036999999999,-60302.7,-0.0039355,-0.0224028,-0.0221148,-0.0337871,-0.0400685,0.000175763,0.000351202,0.000484954,8.74954e-05,-0.000196912,0.000210707,0.00038361,0.00050061,0.000568574,0.00059867
0.36,-0.008935658999999999,-60487.6,-0.0291778,-0.0398148,-0.0485961,-0.0499442,-0.0486264,-0.00015537,-0.000270975,-0.000222156,-0.000749817,-0.00108386,0.000210911,0.000384412,0.000503238,0.000561951,0.000585863
0.38,0.011566646999999998,-57365.1,-0.0219323,-0.0324829,-0.0514641,-0.0427358,-0.0362809,-0.00066647,-0.000993952,-0.00122276,-0.00167662,-0.00193293,0.000202692,0.000371763,0.000488789,0.000537686,0.000555695
0.4,0.009807045,-51787.5,-0.0119402,-0.0322214,-0.0509458,-0.0389667,-0.0307735,-0.00100519,-0.001641,-0.00224686,-0.00249364,-0.00260348,0.000185975,0.000345413,0.000454092,0.000495984,0.00051033
0.42,0.010411598999999999,-46462.6,0.00968099,-0.0136008,-0.0214272,-0.0153985,-0.00902932,-0.00102779,-0.00209922,-0.00297059,-0.00303729,-0.00300151,0.000165646,0.000308011,0.000401918,0.000440674,0.000454281
0.44,-0.010497075,-42998.7,0.0103094,0.00188203,0.00431034,0.000578971,0.00119985,-0.000827883,-0.00221641,-0.00314176,-0.00318549,-0.0030798,0.000147089,0.000264855,0.000340795,0.000378447,0.000393468
0.46,-0.023830566,-39701.1,-0.0110919,0.00309064,0.00761971,-0.00188772,-0.00886594,-0.000835708,-0.00216668,-0.00302245,-0.00319858,-0.00315646,0.000130453,0.000221024,0.000279152,0.000314606,0.000331105
0.48,-0.016938171,-32298.2,-0.0455588,-0.0243308,-0.0209946,-0.0301764,-0.0410374,-0.00140222,-0.00237908,-0.0031562,-0.00351922,-0.0036555,0.000108074,0.000175567,0.000217366,0.000247428,0.000262985
0.5,0.017025482999999998,-20867.1,0.00125884,0.00423208,0.0102926,0.00405769,-0.00299008,-0.00184521,-0.00258007,-0.00326322,-0.0037804,-0.00409577,7.55995e-05,0.000125975,0.000153172,0.000174432,0.000185473
0.52,-0.012271823999999999,-9616.48,-0.00947158,-0.0286111,-0.0193219,-0.0219104,-0.0206396,-0.00192734,-0.00282386,-0.00335352,-0.00395893,-0.00433207,3.7874e-05,7.19358e-05,8.70042e-05,9.70385e-05,0.000101194
0.54,0.018297933,-652.711,0.0403682,0.0229368,0.0262788,0.0299339,0.0365893,-0.00161838,-0.0028806,-0.00328395,-0.0038787,-0.00417257,2.41677e-06,1.48912e-05,2.06295e-05,1.86622e-05,1.61478e-05
0.56,-0.027534237,6288.67,0.00166339,0.00637173,-0.00480335,0.00688019,0.0131731,-0.00119806,-0.00258752,-0.0030692,-0.00351056,-0.00367495,-2.57476e-05,-3.97899e-05,-4.2902e-05,-5.52304e-05,-6.23273e-05
0.58,0.0023855964,13190.5,0.00814948,0.0272748,0.00815119,0.022324,0.0266408,-0.00109993,-0.00225105,-0.00303572,-0.00321852,-0.00327681,-4.87275e-05,-8.81756e-05,-0.000103951,-0.000122521,-0.000131845
0.6,-0.008575242,20205.1,0.00249644,0.0147047,0.00667894,0.0120126,0.015928,-0.000993473,-0.00183126,-0.00288742,-0.00287515,-0.00285112,-6.96616e-05,-0.000128999,-0.000163182,-0.000183458,-0.000193124
0.62,0.0021788577,25940.0,0.00474951,0.00445407,0.0190294,0.0101476,0.0117985,-0.000921013,-0.00163967,-0.00263033,-0.00265355,-0.00257386,-8.88064e-05,-0.000163708,-0.00021836,-0.000238745,-0.000247374
0.64,0.0043058331,30674.6,-0.000158266,-0.000763648,0.0267915,0.0121657,0.0062638,-0.000875101,-0.00160276,-0.00217212,-0.00243041,-0.00239323,-0.000106768,-0.000196132,-0.000266384,-0.000289584,-0.000297045
0.66,0.007038969,34547.3,0.0169029,0.0256935,0.0454208,0.0395292,0.0267475,-0.000707655,-0.00135347,-0.00145,-0.00191347,-0.00206312,-0.000122595,-0.000225694,-0.000302606,-0.000333023,-0.000341608
0.68,-0.012509993999999998,36451.2,0.028357,0.0461555,0.0475,0.0555419,0.047349,-0.000255056,-0.000634976,-0.000520793,-0.000962755,-0.00132216,-0.000132222,-0.000245579,-0.000322314,-0.000361785,-0.000375461
0.7000000000000001,-0.024343625999999997,36401.4,0.0130238,0.0353976,0.0263835,0.0403102,0.0482167,0.000158752,0.000180555,0.000218042,-4.23461e-06,-0.000366498,-0.000133185,-0.000250123,-0.000325341,-0.000371455,-0.000392348
0.72,-0.011706336,34558.5,0.0316044,0.0518194,0.0480363,0.057913,0.0781341,0.000605034,0.00105272,0.00096224,0.000977998,0.000897011,-0.000125547,-0.00023779,-0.000313538,-0.000361718,-0.000387043
0.74,-0.034016541,31093.0,-0.0133878,-0.00270853,0.00710856,0.0120421,0.026726,0.0007872,0.00154383,0.00151369,0.00167755,0.00194561,-0.000111625,-0.000211825,-0.000288779,-0.000335162,-0.000358616
0.76,0.011818128,29460.8,-0.0302642,-0.0340276,-0.0138407,-0.0085093,-0.0118247,0.00035068,0.00117647,0.00144637,0.00171288,0.00209462,-0.000100246,-0.000184622,-0.000259179,-0.000301258,-0.000318214
0.78,0.036362847,30382.1,-0.00562526,-0.0244817,-0.00418461,0.00315231,-0.0107212,-8.21463e-06,0.000591379,0.00126611,0.00165931,0.00186917,-9.68216e-05,-0.000166943,-0.000232054,-0.000267536,-0.000278576
0.8,0.024445779,28937.0,0.0315705,0.010342,0.0192683,0.0242682,0.018096,0.000251237,0.000449983,0.00141695,0.00193351,0.00194291,-9.43914e-05,-0.00015653,-0.000205223,-0.000231608,-0.000240455
0.8200000000000001,-0.006127241999999999,23306.6,0.0180709,0.0197041,0.0101581,0.00944571,0.0183375,0.000747651,0.000750444,0.00171122,0.00227065,0.00230725,-8.44025e-05,-0.000144525,-0.000173941,-0.000189566,-0.000197954
0.84,-0.0048858255,17314.9,0.00191253,0.0330501,0.00901806,0.00419874,0.0169182,0.000947485,0.00127799,0.00190298,0.0024071,0.00265981,-6.74511e-05,-0.000124241,-0.000137799,-0.000142789,-0.000148283
0.86,-0.008444783999999999,14295.7,-0.0260548,0.00320342,-0.0185473,-0.025352,-0.0243106,0.000706062,0.00164052,0.00180769,0.00219556,0.00258588,-5.09157e-05,-9.50559e-05,-0.000100693,-9.67621e-05,-9.58262e-05
