time,GM_main,baseforce,acc_2,acc_4,acc_6,acc_8,acc_10,vel_2,vel_4,vel_6,vel_8,vel_10,dis_2,dis_4,dis_6,dis_8,dis_10
0.0,0.0016888445999999999,168.268,-0.00350882,-0.00373666,-0.00374289,-0.00374305,-0.00374307,-3.50882e-05,-3.73666e-05,-3.74289e-05,-3.74305e-05,-3.74307e-05,-3.50882e-07,-3.73666e-07,-3.74289e-07,-3.74305e-07,-3.74307e-07
0.02,0.0037690478999999996,708.228,-0.00250638,-0.00365753,-0.0037214,-0.00372395,-0.00372419,-9.52403e-05,-0.000111309,-0.000112072,-0.000112101,-0.000112103,-1.65417e-06,-1.86042e-06,-1.8693e-06,-1.86962e-06,-1.86964e-06
0.04,0.0038020398,1440.76,-0.000663931,-0.0030507,-0.00335206,-0.00337057,-0.00337279,-0.000126943,-0.000178391,-0.000182806,-0.000183046,-0.000183073,-3.876e-06,-4.75741e-06,-4.81808e-06,-4.82108e-06,-4.82141e-06
0.06,0.0035003135999999995,2199.09,-0.00157499,-0.00410823,-0.0049685,-0.00505304,-0.00506593,-0.000149333,-0.00024998,-0.000266012,-0.000267282,-0.00026746,-6.63876e-06,-9.04112e-06,-9.30626e-06,-9.32435e-06,-9.32674e-06
0.08,0.005254938,3105.63,-0.000837681,-0.00220687,-0.0038438,-0.00411414,-0.00416683,-0.000173459,-0.000313131,-0.000354135,-0.000358954,-0.000359788,-9.86668e-06,-1.46722e-05,-1.55077e-05,-1.55867e-05,-1.55992e-05
0.1,0.004434858,4066.0,0.00123758,0.00097025,-0.00116126,-0.00179924,-0.00195954,-0.00016946,-0.000325497,-0.000404186,-0.000418087,-0.000421051,-1.32959e-05,-2.10585e-05,-2.30909e-05,-2.33571e-05,-2.34076e-05
0.12,0.0023282367,4869.4,0.00119378,0.00148765,-0.000317915,-0.00145318,-0.00182528,-0.000145147,-0.000300918,-0.000418977,-0.000450612,-0.0004589,-1.64419e-05,-2.73227e-05,-3.13226e-05,-3.20441e-05,-3.22071e-05
0.14,0.0023985555,5585.46,0.000506226,0.00141607,0.000733572,-0.000777812,-0.0014376,-0.000128147,-0.000271881,-0.000414821,-0.000472922,-0.000491528,-1.91749e-05,-3.30507e-05,-3.96605e-05,-4.12794e-05,-4.17114e-05
0.16,0.002473092,6383.68,-0.00118762,-7.23314e-07,0.000592556,-0.000816311,-0.00168025,-0.00013496,-0.000257727,-0.000401559,-0.000488863,-0.000522707,-2.18059e-05,-3.83467e-05,-4.78243e-05,-5.08973e-05,-5.18538e-05
0.18,0.0036175166999999997,7311.48,-0.00119844,-0.000863213,0.000488396,-0.000156412,-0.000884786,-0.000158821,-0.000266367,-0.00039075,-0.00049859,-0.000548357,-2.47438e-05,-4.35877e-05,-5.57474e-05,-6.07718e-05,-6.25644e-05
0.2,0.0042715611,8283.91,0.000199003,-0.000627706,0.000746636,0.00130984,0.00120919,-0.000168815,-0.000281276,-0.0003784,-0.000487056,-0.000545113,-2.80201e-05,-4.90641e-05,-6.34389e-05,-7.06283e-05,-7.34991e-05
0.22,0.0040431831,9166.14,0.00124393,0.000475435,0.00131566,0.00300278,0.00383306,-0.000154386,-0.000282799,-0.000357777,-0.000443929,-0.00049469,-3.12521e-05,-5.47049e-05,-7.08007e-05,-7.99381e-05,-8.38971e-05
0.24,0.0032643672,9917.31,0.00082585,0.00128123,0.00143575,0.00366431,0.00520406,-0.000133688,-0.000265232,-0.000330263,-0.000377259,-0.000404319,-3.41329e-05,-6.01852e-05,-7.76811e-05,-8.815e-05,-9.28872e-05
