time,GM_main,baseforce,acc_2,acc_4,acc_6,acc_8,acc_10,vel_2,vel_4,vel_6,vel_8,vel_10,dis_2,dis_4,dis_6,dis_8,dis_10
0.0,-0.006443798999999999,-286.32,0.00597051,0.0063582,0.00636879,0.00636907,0.00636909,5.97051e-05,6.3582e-05,6.36879e-05,6.36907e-05,6.36909e-05,5.97051e-07,6.3582e-07,6.36879e-07,6.36907e-07,6.36909e-07
0.02,-0.006413301,-1201.22,0.00418388,0.00613741,0.00624594,0.00625027,0.00625068,0.000161249,0.000188538,0.000189835,0.000189884,0.000189889,2.80659e-06,3.15702e-06,3.17211e-06,3.17265e-06,3.1727e-06
0.04,-0.006382547999999999,-2459.57,0.00157948,0.00564715,0.00615936,0.00619083,0.00619461,0.000218883,0.000306384,0.000313888,0.000314295,0.000314341,6.60791e-06,8.10623e-06,8.20934e-06,8.21444e-06,8.215e-06
0.06,-0.006413556,-3688.14,0.000462402,0.00471783,0.00617939,0.00632306,0.00634496,0.000239302,0.000410033,0.000437276,0.000439434,0.000439737,1.11898e-05,1.52704e-05,1.5721e-05,1.57517e-05,1.57558e-05
0.08,-0.0066559079999999994,-5001.66,0.00126283,0.00314252,0.0059078,0.00636675,0.00645626,0.000256554,0.000488637,0.000558148,0.000566332,0.000567749,1.61483e-05,2.42571e-05,2.56752e-05,2.58094e-05,2.58307e-05
0.1,-0.006881429999999999,-6584.72,0.00185006,0.00162348,0.00515159,0.00623092,0.00650283,0.000287683,0.000536297,0.000668742,0.000692309,0.00069734,2.15907e-05,3.45064e-05,3.79441e-05,3.83958e-05,3.84816e-05
0.12,-0.0071166929999999995,-8380.09,0.000791326,0.000823431,0.00365126,0.00555639,0.00618528,0.000314097,0.000560766,0.00075677,0.000810182,0.000824221,2.76085e-05,4.54771e-05,5.21992e-05,5.34207e-05,5.36972e-05
0.14,-0.007189520999999999,-10205.6,-0.000315694,0.00081131,0.00172457,0.00422076,0.00532748,0.000318853,0.000577113,0.000810528,0.000907954,0.000939349,3.3938e-05,5.68559e-05,6.78722e-05,7.06021e-05,7.13329e-05
0.16,-0.007154687999999999,-11994.6,0.000361556,0.00132395,0.00059809,0.00286281,0.00429056,0.000319312,0.000598466,0.000833755,0.000978789,0.00103553,4.03196e-05,6.86117e-05,8.4315e-05,8.94695e-05,9.10817e-05
0.18,-0.007664841,-13844.7,0.00122614,0.00120812,0.000292088,0.00129989,0.00246663,0.000335188,0.000623787,0.000842657,0.00102042,0.0011031,4.68646e-05,8.08342e-05,0.000101079,0.000109462,0.000112468
0.2,-0.008277656999999999,-15821.0,0.00028143,-0.000114471,-0.0002296,-0.000962807,-0.000840089,0.000350264,0.000634723,0.000843282,0.00102379,0.00111937,5.37191e-05,9.34193e-05,0.000117939,0.000129904,0.000134693
0.22,-0.008070801,-17785.4,-0.0016975,-0.00197034,-0.00169796,-0.00372006,-0.00499887,0.000336103,0.000613875,0.000824006,0.000976959,0.00106098,6.05828e-05,0.000105905,0.000134611,0.000149911,0.000156496
0.24,-0.006964356,-19542.8,-0.00199224,-0.00263982,-0.00304086,-0.00537965,-0.00747828,0.000299206,0.000567773,0.000776618,0.000885961,0.000936205,6.69359e-05,0.000117722,0.000150618,0.00016854,0.000176468
0.26,-0.006610875,-21064.9,-0.00175762,-0.00335419,-0.00491426,-0.00685479,-0.00852897,0.000261707,0.000507833,0.000697067,0.000763617,0.000776133,7.2545e-05,0.000128478,0.000165354,0.000185036,0.000193591
0.28,-0.006302784,-22379.0,-0.00270753,-0.00514538,-0.00758297,-0.00895496,-0.00933107,0.000217056,0.000422837,0.000572094,0.00060552,0.000597533,7.73327e-05,0.000137785,0.000178046,0.000198727,0.000207328
0.3,-0.00519435,-23419.3,-0.00319795,-0.00619705,-0.00906355,-0.00990824,-0.0092751,0.000158001,0.000309413,0.000405629,0.000416888,0.000411471,8.10832e-05,0.000145107,0.000187823,0.000208951,0.000217418
0.32,-0.0047553675,-24143.2,-0.00268174,-0.00618257,-0.00913991,-0.0094565,-0.00888965,9.92043e-05,0.000185617,0.000223595,0.00022324,0.000229823,8.36553e-05,0.000150057,0.000194116,0.000215353,0.000223831
0.34,-0.0050881782,-24569.4,-0.00268622,-0.00637953,-0.00901123,-0.00898829,-0.00918298,4.55247e-05,5.99961e-05,4.20831e-05,3.87923e-05,4.9097e-05,8.51026e-05,0.000152513,0.000196772,0.000217973,0.00022662
