time,wave_main,wave_second,wave_up,baseforce,acc_top,dis_5,dis_10,dis_17,dis_24,dis_32,dis_39,dis_47,dis_54,dis_62,dis_70,dis_78,dis_86,dis_95,dis_103,dis_112,dis_120,dis_128
0.02,0.000546644,-0.000252973,-0.003248394,3872.9665,-0.000310288,1.95E-06,7.29E-06,1.15E-05,1.49E-05,1.87E-05,2.35E-05,2.80E-05,3.16E-05,3.34E-05,3.57E-05,3.48E-05,3.35E-05,3.12E-05,3.01E-05,3.41E-05,4.10E-05,5.00E-05
0.04,0.000310985,-0.00021996,-0.002803429,18497.7015,-0.000947598,1.81E-06,7.11E-06,1.13E-05,1.48E-05,1.85E-05,2.33E-05,2.79E-05,3.14E-05,3.32E-05,3.55E-05,3.46E-05,3.33E-05,3.10E-05,2.99E-05,3.39E-05,4.08E-05,4.98E-05
0.06,0.000948036,-9.31E-05,-0.002096238,41175.5543,-0.0010521,1.46E-06,6.61E-06,1.08E-05,1.43E-05,1.80E-05,2.28E-05,2.73E-05,3.09E-05,3.27E-05,3.50E-05,3.41E-05,3.28E-05,3.05E-05,2.94E-05,3.34E-05,4.03E-05,4.93E-05
0.08,0.001054105,-0.000269116,-0.003535057,54604.6057,-0.000170466,1.02E-06,5.84E-06,9.95E-06,1.35E-05,1.72E-05,2.20E-05,2.65E-05,3.00E-05,3.19E-05,3.42E-05,3.33E-05,3.19E-05,2.96E-05,2.86E-05,3.25E-05,3.94E-05,4.84E-05
0.1,0.000173206,0.000239278,-9.49E-05,69040.9571,-0.00109689,6.02E-07,4.94E-06,8.86E-06,1.24E-05,1.62E-05,2.09E-05,2.54E-05,2.89E-05,3.08E-05,3.31E-05,3.22E-05,3.08E-05,2.86E-05,2.75E-05,3.15E-05,3.83E-05,4.73E-05
0.12,0.001100794,-0.000318018,-0.004025065,87262.4188,-0.000895099,1.25E-07,3.91E-06,7.48E-06,1.09E-05,1.48E-05,1.95E-05,2.40E-05,2.75E-05,2.94E-05,3.17E-05,3.08E-05,2.94E-05,2.71E-05,2.61E-05,3.00E-05,3.69E-05,4.59E-05
0.14,0.000900029,-0.000436681,0.000125124,102995.8613,-0.000785119,-4.12E-07,2.74E-06,5.81E-06,9.13E-06,1.30E-05,1.77E-05,2.22E-05,2.58E-05,2.76E-05,2.99E-05,2.90E-05,2.77E-05,2.54E-05,2.43E-05,2.83E-05,3.52E-05,4.41E-05
0.16,0.000791639,-0.000853677,0.003969428,126680.0966,-0.00158096,-1.00E-06,1.42E-06,3.85E-06,6.91E-06,1.07E-05,1.55E-05,2.01E-05,2.36E-05,2.54E-05,2.77E-05,2.68E-05,2.55E-05,2.32E-05,2.21E-05,2.61E-05,3.30E-05,4.20E-05
0.18,0.001589485,-0.000969597,0.004735929,164807.908,-0.00216302,-1.79E-06,-2.09E-07,1.45E-06,4.10E-06,7.84E-06,1.27E-05,1.73E-05,2.08E-05,2.26E-05,2.50E-05,2.40E-05,2.27E-05,2.04E-05,1.93E-05,2.33E-05,3.02E-05,3.92E-05
0.2,0.002175622,-0.000354312,-0.004700295,197882.446,-0.00133039,-2.75E-06,-2.22E-06,-1.48E-06,6.27E-07,4.20E-06,9.13E-06,1.38E-05,1.73E-05,1.91E-05,2.14E-05,2.05E-05,1.92E-05,1.69E-05,1.58E-05,1.98E-05,2.67E-05,3.57E-05
0.22,0.001347059,-3.35E-05,0.011284097,218257.4057,-0.00102199,-3.68E-06,-4.40E-06,-4.77E-06,-3.35E-06,-6.21E-08,4.90E-06,9.63E-06,1.32E-05,1.50E-05,1.73E-05,1.64E-05,1.51E-05,1.28E-05,1.17E-05,1.57E-05,2.26E-05,3.16E-05
0.24,0.001042543,-0.000288421,0.00446135,227175.818,-0.000704626,-4.43E-06,-6.49E-06,-8.21E-06,-7.64E-06,-4.74E-06,2.07E-07,5.06E-06,8.71E-06,1.05E-05,1.28E-05,1.19E-05,1.06E-05,8.26E-06,7.21E-06,1.12E-05,1.80E-05,2.70E-05
0.26,0.000727281,-0.001136429,-0.008020658,185624.318,0.00288341,-4.71E-06,-7.99E-06,-1.13E-05,-1.17E-05,-9.38E-06,-4.51E-06,4.84E-07,4.25E-06,6.09E-06,8.39E-06,7.45E-06,6.10E-06,3.79E-06,2.74E-06,6.68E-06,1.36E-05,2.26E-05
0.28,-0.002863674,0.000397932,-0.001744909,159452.4575,-0.00121095,-4.46E-06,-8.59E-06,-1.35E-05,-1.53E-05,-1.36E-05,-8.91E-06,-3.78E-06,1.48E-07,2.03E-06,4.32E-06,3.37E-06,2.02E-06,-2.97E-07,-1.35E-06,2.59E-06,9.49E-06,1.85E-05
0.3,0.001227511,-0.00022137,-0.00648328,123532.4966,0.00238083,-4.03E-06,-8.52E-06,-1.49E-05,-1.83E-05,-1.75E-05,-1.31E-05,-7.84E-06,-3.71E-06,-1.74E-06,5.53E-07,-4.20E-07,-1.78E-06,-4.10E-06,-5.15E-06,-1.21E-06,5.69E-06,1.47E-05
0.32,-0.002364502,0.000283699,-0.01024117,109642.2461,-0.000977489,-3.54E-06,-8.01E-06,-1.56E-05,-2.07E-05,-2.11E-05,-1.71E-05,-1.17E-05,-7.38E-06,-5.26E-06,-2.95E-06,-3.94E-06,-5.32E-06,-7.64E-06,-8.70E-06,-4.76E-06,2.15E-06,1.12E-05
0.34,0.000992723,0.00210728,-0.000194624,106897.1045,-9.95E-05,-3.19E-06,-7.44E-06,-1.59E-05,-2.26E-05,-2.45E-05,-2.10E-05,-1.57E-05,-1.11E-05,-8.78E-06,-6.40E-06,-7.42E-06,-8.82E-06,-1.12E-05,-1.22E-05,-8.27E-06,-1.37E-06,7.66E-06
0.36,0.00011585,-0.001083702,0.00470873,104482.6171,0.000359522,-3.03E-06,-7.05E-06,-1.60E-05,-2.42E-05,-2.77E-05,-2.51E-05,-1.98E-05,-1.50E-05,-1.24E-05,-9.92E-06,-1.10E-05,-1.24E-05,-1.47E-05,-1.58E-05,-1.19E-05,-4.96E-06,4.07E-06
0.38,-0.000343807,0.00197789,-0.000148495,139630.98,-0.00350466,-3.14E-06,-7.06E-06,-1.63E-05,-2.56E-05,-3.09E-05,-2.94E-05,-2.43E-05,-1.93E-05,-1.64E-05,-1.37E-05,-1.48E-05,-1.63E-05,-1.86E-05,-1.97E-05,-1.58E-05,-8.84E-06,1.99E-07
0.4,0.00352036,-0.001250081,0.01618584,183940.9806,-0.00108247,-3.82E-06,-7.93E-06,-1.73E-05,-2.74E-05,-3.44E-05,-3.43E-05,-2.97E-05,-2.45E-05,-2.13E-05,-1.83E-05,-1.94E-05,-2.09E-05,-2.33E-05,-2.44E-05,-2.04E-05,-1.35E-05,-4.45E-06
0.42,0.001098608,-0.000713911,0.008618105,239147.1865,-0.00331321,-4.89E-06,-9.69E-06,-1.92E-05,-2.98E-05,-3.84E-05,-3.99E-05,-3.61E-05,-3.08E-05,-2.71E-05,-2.39E-05,-2.48E-05,-2.64E-05,-2.88E-05,-2.99E-05,-2.60E-05,-1.90E-05,-1.00E-05
0.44,0.003330895,-0.002202662,-0.015271482,293246.2996,-0.00225694,-6.25E-06,-1.22E-05,-2.22E-05,-3.31E-05,-4.30E-05,-4.62E-05,-4.34E-05,-3.83E-05,-3.41E-05,-3.04E-05,-3.12E-05,-3.28E-05,-3.53E-05,-3.65E-05,-3.25E-05,-2.56E-05,-1.65E-05
0.46,0.002280022,0.001289638,-0.001754265,346783.2478,-0.00262863,-7.79E-06,-1.54E-05,-2.62E-05,-3.73E-05,-4.83E-05,-5.31E-05,-5.17E-05,-4.69E-05,-4.23E-05,-3.81E-05,-3.87E-05,-4.03E-05,-4.29E-05,-4.40E-05,-4.01E-05,-3.32E-05,-2.41E-05
0.48,0.002660301,-0.001415281,-0.011393326,357856.0632,0.000481498,-9.13E-06,-1.86E-05,-3.07E-05,-4.22E-05,-5.41E-05,-6.03E-05,-6.05E-05,-5.63E-05,-5.14E-05,-4.66E-05,-4.69E-05,-4.84E-05,-5.11E-05,-5.23E-05,-4.84E-05,-4.15E-05,-3.24E-05
0.5,-0.000441588,0.002205733,0.003789435,333418.6912,0.000849224,-9.83E-06,-2.12E-05,-3.49E-05,-4.73E-05,-5.98E-05,-6.73E-05,-6.92E-05,-6.58E-05,-6.07E-05,-5.53E-05,-5.52E-05,-5.66E-05,-5.94E-05,-6.07E-05,-5.68E-05,-4.98E-05,-4.08E-05
0.52,-0.000804962,0.001516601,0.00929809,306962.8803,-0.000125961,-9.95E-06,-2.27E-05,-3.85E-05,-5.21E-05,-6.53E-05,-7.38E-05,-7.74E-05,-7.51E-05,-7.00E-05,-6.40E-05,-6.34E-05,-6.46E-05,-6.75E-05,-6.88E-05,-6.50E-05,-5.80E-05,-4.90E-05
0.54,0.000169945,-0.003020516,0.009026132,298012.9523,-0.000551859,-9.93E-06,-2.36E-05,-4.15E-05,-5.68E-05,-7.08E-05,-8.01E-05,-8.53E-05,-8.42E-05,-7.94E-05,-7.29E-05,-7.17E-05,-7.26E-05,-7.55E-05,-7.69E-05,-7.31E-05,-6.62E-05,-5.71E-05
0.56,0.000589823,-0.000851503,-0.003784807,338934.9926,-0.00399563,-1.02E-05,-2.45E-05,-4.43E-05,-6.17E-05,-7.68E-05,-8.68E-05,-9.34E-05,-9.36E-05,-8.94E-05,-8.26E-05,-8.07E-05,-8.11E-05,-8.40E-05,-8.55E-05,-8.18E-05,-7.49E-05,-6.58E-05
0.58,0.004022832,-0.002291862,-0.006219482,400213.9196,-0.00285388,-1.12E-05,-2.63E-05,-4.77E-05,-6.72E-05,-8.39E-05,-9.47E-05,-0.000102469,-0.00010393,-0.00010056,-9.36E-05,-9.10E-05,-9.08E-05,-9.35E-05,-9.52E-05,-9.16E-05,-8.47E-05,-7.56E-05
0.6,0.002866737,-0.00211496,0.003327025,394486.6085,0.00209424,-1.22E-05,-2.84E-05,-5.13E-05,-7.28E-05,-9.15E-05,-0.000103448,-0.000112132,-0.00011468,-0.000112347,-0.00010556,-0.000102195,-0.000101286,-0.000103838,-0.000105582,-0.000102127,-9.53E-05,-8.62E-05
