time,wave_main,wave_second,wave_up,baseforce,acc_top,dis_5,dis_10,dis_17,dis_24,dis_32,dis_39,dis_47,dis_54,dis_62,dis_70,dis_78,dis_86,dis_95,dis_103,dis_112,dis_120,dis_128
0.02,-0.003367254,0.003554309,-0.014196125,-196855.6347,0.0157597,3.30E-06,8.91E-06,1.31E-05,1.65E-05,2.03E-05,2.51E-05,2.96E-05,3.32E-05,3.50E-05,3.73E-05,3.64E-05,3.51E-05,3.28E-05,3.17E-05,3.57E-05,4.26E-05,5.16E-05
0.04,-0.015768764,0.004341972,-0.000516989,-524940.5173,0.0141927,7.81E-06,1.50E-05,1.93E-05,2.26E-05,2.65E-05,3.12E-05,3.58E-05,3.93E-05,4.12E-05,4.35E-05,4.26E-05,4.12E-05,3.89E-05,3.79E-05,4.18E-05,4.87E-05,5.77E-05
0.06,-0.014221174,-0.000488805,-0.000449029,-685944.5533,-0.000463464,1.37E-05,2.50E-05,3.01E-05,3.32E-05,3.70E-05,4.18E-05,4.63E-05,4.98E-05,5.17E-05,5.40E-05,5.31E-05,5.17E-05,4.95E-05,4.84E-05,5.23E-05,5.92E-05,6.82E-05
0.08,0.000426492,-0.004776616,0.004289971,-562750.0965,-0.0092515,1.70E-05,3.39E-05,4.13E-05,4.43E-05,4.79E-05,5.27E-05,5.72E-05,6.07E-05,6.26E-05,6.49E-05,6.40E-05,6.27E-05,6.04E-05,5.93E-05,6.33E-05,7.02E-05,7.91E-05
0.1,0.009218242,-0.005972238,-0.000387278,-291637.1531,-0.0103199,1.60E-05,3.76E-05,4.93E-05,5.30E-05,5.61E-05,6.07E-05,6.52E-05,6.87E-05,7.06E-05,7.29E-05,7.20E-05,7.06E-05,6.84E-05,6.73E-05,7.13E-05,7.81E-05,8.71E-05
0.12,0.010293052,-0.005417951,0.011928631,-143585.3543,0.00110974,1.31E-05,3.64E-05,5.33E-05,5.92E-05,6.17E-05,6.58E-05,7.04E-05,7.38E-05,7.57E-05,7.80E-05,7.71E-05,7.57E-05,7.35E-05,7.24E-05,7.64E-05,8.33E-05,9.22E-05
0.14,-0.001141974,0.004659236,0.000971182,-137115.8731,0.00194311,1.10E-05,3.37E-05,5.51E-05,6.48E-05,6.71E-05,7.06E-05,7.49E-05,7.83E-05,8.02E-05,8.25E-05,8.16E-05,8.02E-05,7.80E-05,7.69E-05,8.09E-05,8.78E-05,9.67E-05
0.16,-0.001989207,0.003275716,-0.00060464,-190894.2422,0.00245696,1.04E-05,3.18E-05,5.60E-05,7.04E-05,7.38E-05,7.64E-05,8.02E-05,8.35E-05,8.54E-05,8.77E-05,8.68E-05,8.55E-05,8.32E-05,8.22E-05,8.61E-05,9.30E-05,0.000101978
0.18,-0.002511718,0.006706194,-0.015454439,-187241.8947,-0.00222541,1.03E-05,3.09E-05,5.64E-05,7.51E-05,8.12E-05,8.31E-05,8.60E-05,8.92E-05,9.11E-05,9.34E-05,9.25E-05,9.12E-05,8.90E-05,8.79E-05,9.19E-05,9.87E-05,0.000107681
0.2,0.002179366,0.004078526,-0.009322499,-252821.7715,0.0074374,1.06E-05,3.10E-05,5.71E-05,7.90E-05,8.88E-05,9.10E-05,9.27E-05,9.54E-05,9.74E-05,9.97E-05,9.88E-05,9.75E-05,9.52E-05,9.42E-05,9.81E-05,0.000105012,0.000113928
0.22,-0.00746427,-0.003556422,0.014864135,-431254.027,0.0102873,1.26E-05,3.37E-05,6.00E-05,8.39E-05,9.80E-05,0.000101642,0.000102159,0.000104033,0.000105819,0.000108207,0.000107352,0.000106026,0.000103799,0.000102752,0.000106719,0.000113574,0.000122468
0.24,-0.01029754,-0.005264985,-0.004665089,-523508.8899,-0.00105444,1.59E-05,3.90E-05,6.58E-05,9.07E-05,0.000108658,0.000115017,0.000114849,0.000115512,0.000116925,0.0001194,0.000118586,0.000117277,0.000115051,0.00011402,0.000117979,0.000124819,0.000133705
0.26,0.00105629,-0.006433642,-0.00816417,-469527.9628,-0.00319855,1.80E-05,4.42E-05,7.22E-05,9.77E-05,0.000118777,0.000128518,0.000128572,0.000127849,0.000128521,0.000131013,0.000130286,0.00012901,0.000126785,0.00012577,0.000129718,0.000136545,0.000145439
0.28,0.003198822,-1.16E-05,-0.001170581,-440249.0318,0.00302121,1.86E-05,4.79E-05,7.79E-05,0.00010414,0.000127606,0.000140847,0.000142192,0.000140278,0.000139778,0.00014208,0.000141492,0.000140281,0.000138064,0.000137058,0.000140996,0.000147815,0.000156731
0.3,-0.003045702,-0.002035289,0.007537144,-540548.7762,0.00798126,1.99E-05,5.13E-05,8.42E-05,0.000111687,0.000136983,0.000153368,0.000156932,0.00015442,0.000152392,0.000154136,0.000153708,0.000152614,0.000150424,0.000149418,0.000153347,0.000160166,0.000169105
0.32,-0.008045774,0.001416733,-0.001917401,-749315.4363,0.0110494,2.30E-05,5.68E-05,9.26E-05,0.000122216,0.000149102,0.000168038,0.000174416,0.000172157,0.00016847,0.000169167,0.000168836,0.000167923,0.000165797,0.000164778,0.000168704,0.000175529,0.000184482
0.34,-0.011160578,0.003027811,-0.013258617,-870861.8693,0.000814619,2.70E-05,6.44E-05,0.000103262,0.0001356,0.000164212,0.000185124,0.000194525,0.000193405,0.000188233,0.000187381,0.000186962,0.000186281,0.000184276,0.000183241,0.000187169,0.000194002,0.000202949
0.36,-0.000956063,0.002496188,-0.015430558,-983667.5154,0.00875454,3.07E-05,7.27E-05,0.000115404,0.000150698,0.000181375,0.000203922,0.000216246,0.000216959,0.000210765,0.000208,0.000207169,0.000206716,0.000204907,0.000203872,0.000207805,0.000214641,0.000223559
0.38,-0.008902938,0.002442314,-0.012832706,-1187373.129,0.013294,3.50E-05,8.24E-05,0.000129955,0.000168458,0.000201517,0.000225666,0.000240657,0.000243563,0.00023699,0.00023222,0.00023055,0.000230211,0.000228685,0.000227695,0.000231636,0.000238463,0.00024733
0.4,-0.01343991,0.000337817,-0.009988579,-1392358.785,0.00851463,4.07E-05,9.44E-05,0.000147839,0.000190076,0.000225769,0.000251718,0.000269109,0.000274221,0.000267943,0.000261405,0.000258443,0.000257963,0.000256794,0.000255926,0.000259882,0.00026668,0.000275488
0.42,-0.00865403,-0.001283145,0.000624833,-1418323.82,-0.00143645,4.56E-05,0.000106783,0.000167217,0.000213993,0.000252616,0.000280641,0.000300235,0.000307318,0.000301905,0.000294124,0.000289495,0.00028848,0.000287689,0.00028705,0.000291037,0.000297788,0.000306534
0.44,0.001307579,-0.007453296,-0.001493478,-1173529.397,-0.0132302,4.71E-05,0.000115435,0.000184072,0.000236454,0.000278454,0.000308812,0.000330476,0.000339189,0.000335036,0.000326701,0.0003202,0.000318165,0.000317681,0.000317387,0.000321443,0.000328137,0.000336821
0.46,0.013119898,-0.003368768,-0.011538112,-888373.159,-0.00518687,4.48E-05,0.000117755,0.000195356,0.000254688,0.00030078,0.000333702,0.000357325,0.000367347,0.000364666,0.00035647,0.000348106,0.000344571,0.000344198,0.000344344,0.000348536,0.000355176,0.0003638
0.48,0.005100766,0.002991121,0.003123134,-804996.307,0.005146,4.17E-05,0.000116025,0.000202039,0.000269725,0.000321037,0.000356802,0.000382258,0.000393356,0.000392213,0.00038472,0.000374703,0.000369298,0.000368712,0.000369324,0.000373752,0.000380368,0.000388934
0.5,-0.005202164,0.000600132,0.005200138,-960943.9657,0.0124703,4.12E-05,0.000115178,0.00020766,0.000284586,0.000342645,0.000381721,0.000408898,0.00042093,0.000421295,0.00041486,0.000403544,0.000396091,0.000394871,0.00039587,0.00040065,0.000407307,0.000415824
0.52,-0.012484318,-0.003543893,0.00215328,-1124312.775,0.00481989,4.35E-05,0.00011783,0.000214548,0.000300495,0.000366936,0.00041014,0.000439024,0.000451903,0.000453677,0.000448441,0.000436247,0.000426799,0.00042448,0.000425658,0.0004309,0.000437702,0.000446206
0.54,-0.004768236,0.002490709,-0.006061799,-1154775.499,-0.000350084,4.60E-05,0.000122543,0.000222316,0.000315913,0.000392018,0.000440568,0.000471393,0.000485059,0.000488077,0.000483999,0.000471349,0.000460166,0.000456317,0.000457339,0.000463111,0.000470198,0.000478763
0.56,0.000483751,0.005340982,-0.004792302,-1241735.22,0.0114356,4.82E-05,0.000128012,0.000230946,0.000330412,0.000416683,0.000472037,0.000505448,0.000519883,0.000523902,0.000520814,0.000508079,0.000495566,0.000489854,0.000490297,0.000496587,0.000504119,0.000512876
0.58,-0.011258038,0.000890746,-0.024989679,-1447321.294,0.0127615,5.19E-05,0.000135707,0.000242417,0.000346512,0.000442529,0.000506041,0.000543163,0.000558478,0.000563174,0.000560817,0.000548297,0.000534916,0.000527154,0.000526562,0.000533256,0.00054139,0.000550517
0.6,-0.012631762,-0.00685413,-0.009437371,-1742955.418,0.0165403,5.80E-05,0.000147172,0.000258294,0.000366654,0.000471373,0.000543906,0.000586248,0.000602811,0.000607825,0.000605869,0.000593775,0.000579964,0.000570122,0.000568081,0.000574955,0.000583806,0.000593508
0.62,-0.016591894,-0.004965673,-0.006875369,-1930866.796,0.00512637,6.50E-05,0.000161642,0.000278182,0.000391006,0.00050331,0.000585045,0.000634218,0.000652757,0.000657789,0.000655843,0.00064429,0.000630402,0.000618595,0.000614789,0.000621532,0.000631135,0.000641596
0.64,-0.005496788,0.004097843,-0.010123199,-1891641.148,-0.00505126,7.01E-05,0.000175422,0.00029906,0.00041686,0.000535956,0.000626479,0.000683865,0.00070545,0.000710406,0.000708043,0.000697022,0.000683296,0.000669748,0.000664004,0.000670255,0.000680535,0.000691858
0.66,0.004257836,0.00249645,-0.000714261,-1785001.428,0.000399017,7.22E-05,0.00018539,0.000317955,0.000441756,0.000567218,0.000665816,0.000732321,0.000758208,0.000763329,0.000760154,0.00074951,0.000736051,0.000721058,0.000713362,0.000718758,0.000729509,0.000741662
0.68,-0.001671355,-0.005853511,0.016815227,-1669167.295,-0.0042767,7.25E-05,0.000191449,0.000333932,0.000465391,0.000597161,0.00070311,0.00077908,0.000810475,0.000816392,0.000812158,0.000801581,0.000788351,0.000772237,0.000762726,0.000766946,0.000777833,0.000790614
0.7,0.002547446,-0.002540133,0.011545992,-1610740.117,0.00115772,7.21E-05,0.000194707,0.000346798,0.000487687,0.000626281,0.000739048,0.000824338,0.000862169,0.000869859,0.000864594,0.000853636,0.000840452,0.000823533,0.000812462,0.000815263,0.00082584,0.000838866
0.72,-0.003238686,0.003608689,0.002853436,-1523582.321,-0.00526708,7.14E-05,0.000196154,0.000356655,0.000508046,0.000654689,0.000774111,0.000868243,0.00091301,0.000923651,0.000917755,0.000905904,0.000892432,0.00087498,0.000862682,0.000863914,0.000873661,0.000886394
0.74,0.00301411,0.003346851,-0.009530492,-1348751.568,-0.00923969,6.96E-05,0.000195364,0.00036281,0.000524748,0.000681066,0.000807525,0.000909882,0.000961632,0.00097641,0.000970672,0.000957466,0.000943241,0.000925442,0.000912283,0.00091188,0.000920258,0.000932062
0.76,0.00704594,-0.001589592,-0.024723985,-1217570.732,-0.000817634,6.67E-05,0.000192223,0.000365091,0.00053687,0.000704341,0.000838813,0.000948863,0.00100728,0.00102721,0.00102272,0.00100787,0.00099235,0.000974268,0.000960593,0.00095856,0.000965056,0.000975273
0.78,-0.00108654,0.00221466,-0.027103791,-1392115.355,0.0172469,6.58E-05,0.00019026,0.000366889,0.000547352,0.000726995,0.000870864,0.000988399,0.00105295,0.00107876,0.00107673,0.00106023,0.00104289,0.00102444,0.00101052,0.0010069,0.00101109,0.00101912
0.8,-0.018679738,0.006992566,-0.012579696,-1732478.293,0.0150075,6.94E-05,0.000193951,0.000372723,0.000560351,0.00075266,0.000907391,0.00103269,0.00110286,0.00113494,0.00113648,0.00111865,0.00109911,0.00108003,0.00106602,0.00106089,0.00106244,0.00106784
0.82,-0.01584682,-0.001624965,0.004146971,-1982584.652,0.00772733,7.56E-05,0.00020337,0.00038357,0.000576646,0.000781476,0.000948273,0.00108214,0.00115767,0.00119606,0.00120205,0.00118351,0.00116162,0.00114154,0.00112738,0.0011208,0.00111957,0.00112205
0.84,-0.00793023,-0.002826729,0.000670264,-1897770.109,-0.00954653,8.00E-05,0.000213629,0.00039618,0.000593268,0.000809731,0.000989313,0.00113294,0.00121397,0.00125852,0.00126945,0.00125102,0.00122696,0.00120542,0.00119088,0.00118287,0.00117883,0.00117836
0.86,0.009937092,-0.004088026,0.019967233,-1576805.148,-0.0116836,7.96E-05,0.000218858,0.000405724,0.000606357,0.000832978,0.00102544,0.00118017,0.00126734,0.00131783,0.00133378,0.00131639,0.00129065,0.0012672,0.00125182,0.00124234,0.00123565,0.00123236
0.88,0.012555422,-0.001346063,0.011491795,-1369701.586,0.00320965,7.62E-05,0.000218004,0.000410557,0.000615578,0.000850774,0.00105553,0.0012226,0.00131701,0.00137331,0.00139403,0.00137856,0.00135192,0.00132619,0.00130935,0.00129827,0.00128919,0.00128339
0.9,-0.002013108,0.003047165,0.001736664,-1327791.892,0.00291171,7.34E-05,0.000214665,0.000412537,0.000623502,0.000866256,0.00108214,0.00126247,0.00136544,0.00142769,0.00145278,0.00143995,0.00141334,0.00138513,0.00136612,0.00135322,0.00134207,0.00133419
0.92,-0.001580062,0.004002735,-0.008651,-1275361.254,-0.00224046,7.16E-05,0.000210976,0.000412472,0.000630466,0.000880685,0.0011064,0.00130035,0.00141323,0.00148188,0.00151097,0.00150129,0.00147565,0.00144493,0.00142309,0.00140805,0.00139514,0.00138566
0.94,0.003492126,0.006273476,-0.03494348,-1358192.137,0.0127521,7.05E-05,0.00020809,0.000411472,0.000636336,0.000894583,0.00112923,0.00133658,0.00146042,0.00153624,0.00156927,0.00156299,0.00153912,0.00150608,0.00148087,0.00146329,0.00144886,0.00143826
0.96,-0.01176714,0.00377136,-0.054648594,-1767397.211,0.0276889,7.32E-05,0.00021024,0.000414439,0.000644895,0.000911743,0.00115514,0.0013753,0.00151066,0.00159463,0.00163195,0.00162918,0.00160762,0.00157256,0.0015437,0.00152315,0.00150732,0.00149595
0.98,-0.02711544,0.001348764,-0.031916742,-2478942.603,0.0369509,8.26E-05,0.000222722,0.000427572,0.000661882,0.000937356,0.00118998,0.00142228,0.00156911,0.00166231,0.00170473,0.0017055,0.00168648,0.00164982,0.00161728,0.00159338,0.00157608,0.00156414
1,-0.03689312,-0.010629585,-0.007418197,-3141513.359,0.0245105,9.73E-05,0.00024661,0.000453538,0.000690139,0.000973518,0.00123603,0.00148007,0.00163785,0.00174122,0.00178994,0.00179436,0.00177782,0.00173998,0.00170401,0.00167645,0.00165746,0.00164495
1.02,-0.02498276,-0.002682422,-0.018543525,-3466498.068,0.00825912,0.000112031,0.000276552,0.000489253,0.000727381,0.00101739,0.00129012,0.0015458,0.00171384,0.00182809,0.00188451,0.00189283,0.00187854,0.00183989,0.00180096,0.00176958,0.00174852,0.00173518
1.04,-0.009167686,0.005031385,-0.016476174,-3287298.167,-0.0136448,0.000121269,0.000303435,0.000527193,0.000767751,0.00106296,0.00134552,0.0016129,0.00179066,0.00191622,0.00198169,0.00199439,0.00198209,0.00194289,0.00190158,0.00186641,0.00184282,0.00182815
1.06,0.012506296,-0.00073871,0.002009064,-3008610.23,-0.000334432,0.000123863,0.000321263,0.000560853,0.000807045,0.00110642,0.00139762,0.00167659,0.00186388,0.00200099,0.00207659,0.00209435,0.0020839,0.00204435,0.00200126,0.00196247,0.00193585,0.00191918
1.08,-0.000756796,-0.006394708,0.003454208,-2878315.144,0.00446802,0.000123838,0.000331493,0.000589105,0.000845897,0.0011495,0.0014476,0.0017376,0.00193456,0.00208341,0.0021698,0.00219341,0.00218498,0.0021452,0.00210084,0.00205875,0.00202864,0.00200923
1.1,-0.005211998,0.001251069,0.002624522,-2878890.389,0.0058822,0.000124282,0.000338245,0.000613116,0.000885372,0.00119501,0.00149827,0.00179813,0.00200502,0.00216585,0.00226335,0.0022936,0.00228767,0.00224782,0.00220256,0.00215751,0.00212359,0.00210073
1.12,-0.005981294,0.00723604,-0.012647034,-2945068.803,0.0103106,0.000125558,0.000344209,0.000634076,0.000924681,0.00124378,0.0015513,0.00185933,0.00207618,0.00224929,0.00235796,0.00239557,0.00239292,0.00235326,0.00230733,0.00225965,0.00222171,0.00219488
1.14,-0.009527716,0.006876869,-0.025038871,-3190389.807,0.0228448,0.000128815,0.000352285,0.000654996,0.00096431,0.00129688,0.00160924,0.00192362,0.00214995,0.00233558,0.00245544,0.002501,0.00250262,0.00246357,0.00241706,0.00236697,0.00232502,0.00229396
1.16,-0.02106027,0.011492665,-0.04691973,-3787294.365,0.0436722,0.000137029,0.000367407,0.000681638,0.00100823,0.0013576,0.00167699,0.00199638,0.00223105,0.00242915,0.00256034,0.00261435,0.00262128,0.00258343,0.00253644,0.00248403,0.00243819,0.00240302
1.18,-0.04092748,-0.006829109,-0.033547943,-4718318.596,0.0553425,0.000153013,0.000395313,0.000721009,0.0010628,0.00143082,0.00176044,0.00208458,0.00232599,0.00253601,0.00267873,0.00274169,0.00275494,0.00271906,0.00267169,0.00261693,0.00256751,0.00252862
1.2,-0.05182584,-0.009197258,-0.047811049,-5706621.955,0.0510746,0.000176012,0.000437988,0.000777194,0.00113236,0.00151933,0.00186249,0.00219242,0.00243895,0.00265973,0.00281414,0.00288662,0.00290708,0.00287406,0.00282654,0.00276934,0.00271669,0.00267477
1.22,-0.04707978,0.003543239,-0.036788037,-6307479.511,0.0259442,0.000200491,0.00049004,0.000847555,0.00121535,0.00162054,0.00197972,0.00231759,0.00256817,0.002798,0.00296397,0.00304662,0.00307511,0.00304589,0.00299857,0.00293886,0.00288342,0.00283926
1.24,-0.021765458,0.000607647,-0.013098586,-6521578.735,0.0203487,0.000220545,0.000541995,0.000924684,0.00130647,0.00172874,0.0021051,0.00245362,0.00270814,0.00294508,0.00312192,0.00321545,0.00325273,0.00322825,0.00318165,0.00311947,0.0030617,0.00301609
1.26,-0.016229444,0.005416324,-0.046690644,-6694711.952,0.0286443,0.000235981,0.000588827,0.00100341,0.00140342,0.0018419,0.00223532,0.00259702,0.00285646,0.00309873,0.00328515,0.00339011,0.00343698,0.00341815,0.00337291,0.00330852,0.00324887,0.00320244
1.28,-0.02472866,-0.008747916,-0.034532212,-6997022.726,0.0321104,0.000250242,0.000631738,0.00108265,0.00150734,0.00196242,0.00237185,0.00274855,0.00301465,0.00326108,0.00345526,0.00357188,0.00362916,0.00361689,0.00357373,0.00350763,0.00344655,0.00339977
1.3,-0.02839012,-0.002586042,-0.016593291,-7401340.459,0.0351217,0.000265189,0.000673474,0.00116255,0.00161873,0.00209279,0.00251705,0.0029095,0.00318429,0.00343451,0.00363449,0.00376247,0.0038309,0.00382614,0.00378587,0.00371882,0.00365676,0.00360989
1.32,-0.03143448,-0.000815619,-0.034951488,-7817288.546,0.0342019,0.000280863,0.00071568,0.0012435,0.00173639,0.00223385,0.00267254,0.00308051,0.00336565,0.0036201,0.00382422,0.00396267,0.00404277,0.00404654,0.00401008,0.003943,0.00388047,0.00383367
1.34,-0.03029378,0.005778524,-0.048809761,-8104618.193,0.0268469,0.000296082,0.000757922,0.00132503,0.00185768,0.00238404,0.00283843,0.00326109,0.00355738,0.00381706,0.00402435,0.00417189,0.00426374,0.00427712,0.00424553,0.00417951,0.00411708,0.00407049
