time,wave_main,wave_second,wave_up,baseforce,acc_top,dis_5,dis_10,dis_17,dis_24,dis_32,dis_39,dis_47,dis_54,dis_62,dis_70,dis_78,dis_86,dis_95,dis_103,dis_112,dis_120,dis_128
0.02,0.000564491,0.006435325,-0.006643618,7450.8744,-0.000590188,1.93E-06,7.27E-06,1.15E-05,1.49E-05,1.87E-05,2.35E-05,2.80E-05,3.15E-05,3.34E-05,3.57E-05,3.48E-05,3.34E-05,3.12E-05,3.01E-05,3.41E-05,4.09E-05,4.99E-05
0.04,0.000591057,0.006438517,-0.006661203,19710.3608,-0.000545241,1.76E-06,7.04E-06,1.12E-05,1.46E-05,1.85E-05,2.32E-05,2.78E-05,3.13E-05,3.32E-05,3.55E-05,3.46E-05,3.32E-05,3.09E-05,2.99E-05,3.38E-05,4.07E-05,4.97E-05
0.06,0.000545728,0.006478331,-0.006808277,31935.5744,-0.000483338,1.50E-06,6.61E-06,1.07E-05,1.40E-05,1.80E-05,2.28E-05,2.73E-05,3.09E-05,3.27E-05,3.50E-05,3.41E-05,3.28E-05,3.05E-05,2.94E-05,3.34E-05,4.03E-05,4.93E-05
0.08,0.000484952,0.006569634,-0.007050756,43893.878,-0.000599282,1.19E-06,6.02E-06,9.99E-06,1.30E-05,1.73E-05,2.21E-05,2.67E-05,3.02E-05,3.21E-05,3.44E-05,3.34E-05,3.21E-05,2.98E-05,2.88E-05,3.27E-05,3.96E-05,4.86E-05
0.1,0.000601225,0.006711875,-0.007260415,60486.42773,-0.000955847,8.20E-07,5.27E-06,8.89E-06,1.17E-05,1.62E-05,2.12E-05,2.58E-05,2.93E-05,3.11E-05,3.34E-05,3.25E-05,3.12E-05,2.89E-05,2.78E-05,3.18E-05,3.87E-05,4.77E-05
0.12,0.000959362,0.006803456,-0.007503859,84963.539,-0.00136528,3.10E-07,4.23E-06,7.34E-06,9.77E-06,1.46E-05,1.98E-05,2.44E-05,2.80E-05,2.98E-05,3.21E-05,3.12E-05,2.99E-05,2.76E-05,2.65E-05,3.05E-05,3.74E-05,4.64E-05
0.14,0.001369912,0.006675152,-0.007933196,112765.4122,-0.0013032,-3.69E-07,2.84E-06,5.25E-06,7.25E-06,1.24E-05,1.79E-05,2.26E-05,2.62E-05,2.80E-05,3.03E-05,2.94E-05,2.81E-05,2.58E-05,2.47E-05,2.87E-05,3.56E-05,4.46E-05
0.16,0.001309687,0.006532364,-0.00838182,129058.2954,-0.000467649,-1.10E-06,1.17E-06,2.70E-06,4.17E-06,9.60E-06,1.54E-05,2.03E-05,2.39E-05,2.58E-05,2.81E-05,2.72E-05,2.58E-05,2.35E-05,2.25E-05,2.64E-05,3.33E-05,4.23E-05
0.18,0.000475476,0.006497702,-0.00937143,119484.9797,0.000791852,-1.63E-06,-3.98E-07,2.60E-08,8.57E-07,6.50E-06,1.27E-05,1.79E-05,2.15E-05,2.34E-05,2.57E-05,2.48E-05,2.34E-05,2.11E-05,2.01E-05,2.40E-05,3.09E-05,3.99E-05
0.2,-0.000782709,0.006390217,-0.009946744,74540.8844,0.00237113,-1.66E-06,-1.36E-06,-2.21E-06,-2.16E-06,3.60E-06,1.01E-05,1.56E-05,1.94E-05,2.13E-05,2.36E-05,2.27E-05,2.14E-05,1.91E-05,1.80E-05,2.20E-05,2.89E-05,3.78E-05
