time,wave_main,wave_second,wave_up,baseforce,acc_top,dis_5,dis_10,dis_17,dis_24,dis_32,dis_39,dis_47,dis_54,dis_62,dis_70,dis_78,dis_86,dis_95,dis_103,dis_112,dis_120,dis_128
0.02,-0.000379056,0.000410781,-0.000235349,-4813.8577,0.000377989,2.01E-06,7.36E-06,1.16E-05,1.50E-05,1.88E-05,2.36E-05,2.81E-05,3.16E-05,3.35E-05,3.58E-05,3.49E-05,3.35E-05,3.13E-05,3.02E-05,3.41E-05,4.10E-05,5.00E-05
0.04,-0.000377712,0.000412088,-0.000235891,-13153.4462,0.000375375,2.12E-06,7.51E-06,1.17E-05,1.52E-05,1.90E-05,2.37E-05,2.83E-05,3.18E-05,3.36E-05,3.59E-05,3.50E-05,3.37E-05,3.14E-05,3.04E-05,3.43E-05,4.12E-05,5.02E-05
0.06,-0.0003766,0.000414044,-0.000239879,-22175.6325,0.000374086,2.31E-06,7.80E-06,1.20E-05,1.55E-05,1.93E-05,2.40E-05,2.86E-05,3.21E-05,3.39E-05,3.63E-05,3.53E-05,3.40E-05,3.17E-05,3.07E-05,3.46E-05,4.15E-05,5.05E-05
0.08,-0.000375403,0.000416131,-0.000239714,-30523.8784,0.000372272,2.52E-06,8.20E-06,1.25E-05,1.59E-05,1.97E-05,2.45E-05,2.90E-05,3.25E-05,3.44E-05,3.67E-05,3.58E-05,3.44E-05,3.22E-05,3.11E-05,3.51E-05,4.19E-05,5.09E-05
0.1,-0.000374204,0.000418957,-0.000245126,-38138.645,0.000371243,2.75E-06,8.69E-06,1.31E-05,1.65E-05,2.03E-05,2.51E-05,2.96E-05,3.31E-05,3.50E-05,3.73E-05,3.64E-05,3.50E-05,3.28E-05,3.17E-05,3.57E-05,4.25E-05,5.15E-05
0.12,-0.000373667,0.000420755,-0.000242031,-45139.9091,0.000364839,2.99E-06,9.22E-06,1.38E-05,1.73E-05,2.11E-05,2.58E-05,3.04E-05,3.39E-05,3.57E-05,3.80E-05,3.71E-05,3.58E-05,3.35E-05,3.25E-05,3.64E-05,4.33E-05,5.23E-05
0.14,-0.00036881,0.000420426,-0.000254801,-51449.8111,0.000362534,3.23E-06,9.79E-06,1.47E-05,1.82E-05,2.20E-05,2.67E-05,3.13E-05,3.48E-05,3.66E-05,3.89E-05,3.80E-05,3.67E-05,3.44E-05,3.33E-05,3.73E-05,4.42E-05,5.32E-05
0.16,-0.000367664,0.000428796,-0.000249148,-57145.983,0.000363571,3.46E-06,1.04E-05,1.56E-05,1.93E-05,2.31E-05,2.78E-05,3.23E-05,3.58E-05,3.77E-05,4.00E-05,3.91E-05,3.77E-05,3.54E-05,3.44E-05,3.83E-05,4.52E-05,5.42E-05
0.18,-0.000370243,0.000432205,-0.000245169,-62798.4332,0.000361712,3.69E-06,1.10E-05,1.65E-05,2.05E-05,2.43E-05,2.90E-05,3.35E-05,3.70E-05,3.89E-05,4.12E-05,4.03E-05,3.89E-05,3.66E-05,3.56E-05,3.95E-05,4.64E-05,5.54E-05
0.2,-0.000368514,0.000436091,-0.000270738,-68035.261,0.000361318,3.91E-06,1.15E-05,1.75E-05,2.17E-05,2.57E-05,3.04E-05,3.49E-05,3.83E-05,4.02E-05,4.25E-05,4.16E-05,4.02E-05,3.80E-05,3.69E-05,4.09E-05,4.77E-05,5.67E-05
0.22,-0.000367442,0.000441822,-0.000275054,-73082.2878,0.000362199,4.13E-06,1.21E-05,1.86E-05,2.31E-05,2.73E-05,3.20E-05,3.64E-05,3.98E-05,4.17E-05,4.40E-05,4.31E-05,4.17E-05,3.94E-05,3.84E-05,4.23E-05,4.92E-05,5.82E-05
0.24,-0.000366346,0.000442454,-0.000282685,-77584.0059,0.0003621,4.33E-06,1.27E-05,1.96E-05,2.46E-05,2.90E-05,3.37E-05,3.80E-05,4.15E-05,4.33E-05,4.56E-05,4.47E-05,4.33E-05,4.11E-05,4.00E-05,4.40E-05,5.08E-05,5.98E-05
0.26,-0.000365239,0.000433532,-0.000262978,-81981.7071,0.000360366,4.53E-06,1.32E-05,2.07E-05,2.61E-05,3.08E-05,3.56E-05,3.99E-05,4.32E-05,4.50E-05,4.74E-05,4.64E-05,4.51E-05,4.28E-05,4.18E-05,4.57E-05,5.26E-05,6.16E-05
0.28,-0.000364087,0.000458473,-0.000213941,-85866.7943,0.000356229,4.72E-06,1.38E-05,2.17E-05,2.76E-05,3.27E-05,3.76E-05,4.19E-05,4.52E-05,4.70E-05,4.93E-05,4.84E-05,4.70E-05,4.47E-05,4.37E-05,4.76E-05,5.45E-05,6.35E-05
0.3,-0.000363024,0.000462048,-0.00031445,-89723.2874,0.000351871,4.90E-06,1.43E-05,2.28E-05,2.92E-05,3.47E-05,3.98E-05,4.41E-05,4.73E-05,4.90E-05,5.13E-05,5.04E-05,4.91E-05,4.68E-05,4.57E-05,4.97E-05,5.66E-05,6.55E-05
0.32,-0.000362151,0.000468641,-0.000263066,-93439.6839,0.000346928,5.08E-06,1.48E-05,2.38E-05,3.08E-05,3.68E-05,4.22E-05,4.65E-05,4.96E-05,5.12E-05,5.35E-05,5.26E-05,5.12E-05,4.90E-05,4.79E-05,5.19E-05,5.87E-05,6.77E-05
0.34,-0.000359953,0.000475188,-0.000321663,-97215.474,0.000348095,5.26E-06,1.54E-05,2.49E-05,3.24E-05,3.90E-05,4.47E-05,4.90E-05,5.20E-05,5.36E-05,5.58E-05,5.49E-05,5.36E-05,5.13E-05,5.03E-05,5.42E-05,6.11E-05,7.01E-05
0.36,-0.000361769,0.000482029,-0.000331163,-100908.029,0.000342721,5.43E-06,1.59E-05,2.59E-05,3.40E-05,4.12E-05,4.72E-05,5.17E-05,5.47E-05,5.61E-05,5.82E-05,5.73E-05,5.60E-05,5.38E-05,5.27E-05,5.67E-05,6.35E-05,7.25E-05
0.38,-0.000356206,0.000489253,-0.000262833,-104182.9254,0.000298057,5.61E-06,1.64E-05,2.70E-05,3.56E-05,4.34E-05,4.99E-05,5.46E-05,5.75E-05,5.88E-05,6.08E-05,5.99E-05,5.86E-05,5.64E-05,5.53E-05,5.93E-05,6.62E-05,7.51E-05
0.4,-0.000310789,0.000496775,-4.92E-05,-107384.8304,0.000341034,5.77E-06,1.69E-05,2.80E-05,3.72E-05,4.56E-05,5.26E-05,5.76E-05,6.05E-05,6.17E-05,6.36E-05,6.26E-05,6.14E-05,5.91E-05,5.81E-05,6.20E-05,6.89E-05,7.79E-05
0.42,-0.000353996,0.000504643,-0.000268523,-110923.3351,0.000344534,5.93E-06,1.74E-05,2.90E-05,3.88E-05,4.79E-05,5.54E-05,6.07E-05,6.37E-05,6.47E-05,6.64E-05,6.55E-05,6.42E-05,6.20E-05,6.09E-05,6.49E-05,7.18E-05,8.07E-05
0.44,-0.000357884,0.000512844,-0.000373784,-114480.8746,0.000338445,6.10E-06,1.79E-05,3.00E-05,4.04E-05,5.02E-05,5.83E-05,6.40E-05,6.71E-05,6.79E-05,6.95E-05,6.84E-05,6.72E-05,6.50E-05,6.39E-05,6.79E-05,7.48E-05,8.37E-05
0.46,-0.000352521,0.00052139,-0.000381167,-117872.9482,0.000340357,6.27E-06,1.84E-05,3.10E-05,4.20E-05,5.25E-05,6.12E-05,6.73E-05,7.06E-05,7.14E-05,7.27E-05,7.16E-05,7.02E-05,6.81E-05,6.71E-05,7.10E-05,7.79E-05,8.69E-05
