time,wave_main,wave_second,wave_up,baseforce,acc_top,dis_5,dis_10,dis_17,dis_24,dis_32,dis_39,dis_47,dis_54,dis_62,dis_70,dis_78,dis_86,dis_95,dis_103,dis_112,dis_120,dis_128
0.36,-0.002781341,0.001102963,-0.010754888,-219419.0815,-0.00056787,7.32E-06,1.77E-05,2.54E-05,3.09E-05,3.61E-05,4.27E-05,4.88E-05,5.23E-05,5.29E-05,5.42E-05,5.32E-05,5.20E-05,4.98E-05,4.87E-05,5.27E-05,5.96E-05,6.86E-05
0.38,0.000531498,0.001684963,-0.010019214,-233653.3356,0.00214748,8.26E-06,2.01E-05,2.91E-05,3.51E-05,4.03E-05,4.66E-05,5.29E-05,5.69E-05,5.76E-05,5.87E-05,5.75E-05,5.62E-05,5.41E-05,5.30E-05,5.69E-05,6.38E-05,7.28E-05
0.4,-0.002179877,-0.000394431,-0.005719284,-228460.8377,-0.000790804,8.92E-06,2.23E-05,3.28E-05,3.96E-05,4.49E-05,5.09E-05,5.73E-05,6.17E-05,6.26E-05,6.35E-05,6.21E-05,6.08E-05,5.86E-05,5.76E-05,6.15E-05,6.84E-05,7.74E-05
0.42,0.000765797,0.001289598,-0.004511046,-208058.8433,-0.000227438,9.22E-06,2.39E-05,3.61E-05,4.40E-05,4.96E-05,5.55E-05,6.18E-05,6.64E-05,6.76E-05,6.84E-05,6.67E-05,6.53E-05,6.32E-05,6.22E-05,6.62E-05,7.31E-05,8.20E-05
0.44,0.000210594,0.000503913,-0.003814642,-220133.0302,0.00271692,9.41E-06,2.51E-05,3.91E-05,4.83E-05,5.45E-05,6.03E-05,6.64E-05,7.11E-05,7.27E-05,7.36E-05,7.17E-05,7.00E-05,6.79E-05,6.70E-05,7.09E-05,7.78E-05,8.68E-05
0.46,-0.002730109,0.000596793,-0.006351303,-235226.8301,0.000155494,9.88E-06,2.64E-05,4.22E-05,5.30E-05,5.99E-05,6.59E-05,7.16E-05,7.62E-05,7.82E-05,7.94E-05,7.72E-05,7.53E-05,7.32E-05,7.23E-05,7.63E-05,8.31E-05,9.20E-05
0.48,-0.000166147,-0.000692714,-0.012106387,-262292.1294,0.00256384,1.05E-05,2.79E-05,4.52E-05,5.78E-05,6.59E-05,7.21E-05,7.76E-05,8.19E-05,8.42E-05,8.58E-05,8.34E-05,8.11E-05,7.89E-05,7.81E-05,8.21E-05,8.90E-05,9.79E-05
0.5,-0.00257048,-0.001677832,-0.010092783,-285660.8875,0.00106453,1.13E-05,2.97E-05,4.84E-05,6.28E-05,7.24E-05,7.91E-05,8.42E-05,8.83E-05,9.07E-05,9.27E-05,9.03E-05,8.77E-05,8.53E-05,8.45E-05,8.86E-05,9.55E-05,0.000104369
0.52,-0.001064263,-0.001081026,-0.008971774,-373763.3489,0.0069008,1.26E-05,3.22E-05,5.25E-05,6.85E-05,7.98E-05,8.72E-05,9.22E-05,9.58E-05,9.83E-05,0.000100616,9.83E-05,9.55E-05,9.29E-05,9.21E-05,9.62E-05,0.000103099,0.000112008
0.54,-0.006894713,0.000621856,-0.008287309,-485031.2477,0.00482368,1.48E-05,3.63E-05,5.81E-05,7.58E-05,8.90E-05,9.74E-05,0.000102295,0.00010553,0.000107858,0.000110414,0.000108311,0.000105394,0.000102489,0.000101581,0.000105773,0.000112691,0.000121616
0.56,-0.004816888,-0.002003178,-0.003259583,-620851.1801,0.00736139,1.78E-05,4.20E-05,6.58E-05,8.51E-05,0.000100115,0.00010974,0.000114893,0.000117781,0.000119834,0.000122471,0.000120633,0.000117728,0.000114514,0.000113433,0.000117667,0.000124654,0.000133615
0.58,-0.007364429,0.000222204,-0.000892507,-710874.7943,0.00306103,2.11E-05,4.90E-05,7.54E-05,9.64E-05,0.000113192,0.000124197,0.00012985,0.000132494,0.000134139,0.000136676,0.000135126,0.000132363,0.000128865,0.000127538,0.000131779,0.000138851,0.000147875
0.6,-0.003089479,0.000276451,-0.002283032,-772597.9098,0.00390427,2.41E-05,5.63E-05,8.62E-05,0.000109182,0.000127701,0.000140158,0.000146604,0.000149158,0.000150298,0.000152547,0.000151264,0.000148748,0.00014503,0.000143407,0.000147602,0.000154763,0.000163874
0.62,-0.003977095,-0.002136161,0.004557944,-842269.7764,0.00546134,2.68E-05,6.35E-05,9.79E-05,0.000123381,0.000143615,0.000157521,0.000165009,0.000167668,0.000168256,0.000170043,0.000168958,0.000166748,0.000162906,0.000160973,0.000165057,0.000172293,0.000181506
0.64,-0.005600367,0.001085429,0.002083839,-948837.7432,0.00677758,2.99E-05,7.12E-05,0.000110649,0.000139478,0.000161565,0.000176865,0.000185567,0.000188531,0.000188587,0.000189771,0.000188774,0.000186873,0.00018302,0.000180805,0.000184716,0.000191988,0.000201298
0.66,-0.006997517,-0.000630097,-0.001792514,-988419.6535,0.000409917,3.29E-05,7.90E-05,0.000124097,0.000157092,0.000181414,0.000198071,0.000208054,0.000211499,0.000211111,0.000211602,0.000210547,0.000208903,0.000205151,0.000202724,0.00020641,0.000213658,0.000223033
0.68,-0.000706074,0.000156519,0.013247217,-887843.8911,-0.0055908,3.45E-05,8.52E-05,0.000136345,0.000174266,0.000201439,0.000219518,0.000230753,0.000234795,0.000234102,0.000233877,0.000232594,0.000231106,0.00022755,0.000225013,0.000228446,0.00023559,0.000244968
0.7,0.005245628,0.001639566,0.025570448,-718864.7439,-0.00561801,3.37E-05,8.79E-05,0.000145404,0.000188932,0.000219728,0.000239474,0.000251877,0.000256545,0.000255713,0.000254821,0.000253136,0.000251657,0.000248367,0.000245838,0.000249019,0.000255973,0.000265265
0.72,0.005263842,0.001032196,0.025421179,-604989.4688,-0.00018566,3.18E-05,8.75E-05,0.000151026,0.000200773,0.000236069,0.000257928,0.000271435,0.00027667,0.000275851,0.000274403,0.00027216,0.000270517,0.00026752,0.00026512,0.00026808,0.000274761,0.00028386
0.74,-0.000134278,-0.000384105,0.017225338,-579997.6285,0.00230423,3.04E-05,8.61E-05,0.000154492,0.00021081,0.000251571,0.00027618,0.000290822,0.000296505,0.000295801,0.000293948,0.000291026,0.000289038,0.000286316,0.000284148,0.000286944,0.000293286,0.000302087
0.76,-0.002546228,0.000278239,0.017953659,-554836.5865,-0.00274018,2.97E-05,8.49E-05,0.000156589,0.000219333,0.000266491,0.000294637,0.000310599,0.000316612,0.000316047,0.000313944,0.000310275,0.000307773,0.000305259,0.000303394,0.0003061,0.000312066,0.000320482
0.78,0.002620886,0.003152545,0.008920528,-525028.3058,0.000718956,2.89E-05,8.36E-05,0.000157336,0.000225761,0.000280082,0.000312679,0.000330327,0.000336611,0.000336128,0.000333895,0.000329466,0.000326318,0.000323899,0.000322363,0.000325057,0.00033065,0.000338632
0.8,-0.000682302,0.000611081,0.007053509,-513539.2526,0.00121406,2.82E-05,8.24E-05,0.000157356,0.000230288,0.000292206,0.00033025,0.000350179,0.000356773,0.000356252,0.000353924,0.00034878,0.000344909,0.000342437,0.000341205,0.00034396,0.000349223,0.000356772
0.82,-0.001011254,-0.001158652,0.001861177,-508460.5908,0.000291201,2.80E-05,8.18E-05,0.000157223,0.000233506,0.000302905,0.000347323,0.000370376,0.000377484,0.000376775,0.000374278,0.00036849,0.000363883,0.000361196,0.000360187,0.000363061,0.000368078,0.000375257
0.84,5.57E-05,-0.002771153,-0.004446677,-482369.7508,-0.000530749,2.77E-05,8.12E-05,0.000156823,0.000235532,0.000311823,0.000363276,0.000390504,0.000398534,0.000397515,0.00039467,0.000388309,0.000382999,0.000379941,0.000379025,0.000382053,0.000386941,0.000393867
0.86,0.000962627,-0.000493771,-0.012641344,-443313.9749,-0.000964213,2.72E-05,8.04E-05,0.000155915,0.00023636,0.000318701,0.000377461,0.000410014,0.000419598,0.000418233,0.000414787,0.000407886,0.000401943,0.000398377,0.000397387,0.000400576,0.000405473,0.000412305
0.88,0.001402918,0.003528607,-0.007340816,-423308.5884,0.000739639,2.65E-05,7.92E-05,0.000154545,0.000236238,0.000323729,0.000389662,0.000428622,0.000440618,0.000439012,0.000434684,0.000427211,0.000420709,0.000416532,0.000415284,0.000418613,0.000423662,0.000430571
0.9,-0.000370545,-3.51E-05,-0.009923087,-414005.7901,-0.000228844,2.59E-05,7.79E-05,0.000152943,0.000235583,0.00032737,0.000400027,0.000446245,0.000461665,0.000460133,0.000454684,0.000446528,0.000439507,0.000434648,0.000432966,0.00043639,0.000441718,0.000448865
0.92,0.000469249,-0.002303343,-0.000901673,-356149.0528,-0.0041996,2.51E-05,7.62E-05,0.000150764,0.000234177,0.000329474,0.00040825,0.000462249,0.00048211,0.000481222,0.000474544,0.000465509,0.000457941,0.000452356,0.000450099,0.000453552,0.000459252,0.000466767
0.94,0.004270462,0.000702021,0.008545735,-259127.1723,-0.00434343,2.34E-05,7.33E-05,0.00014723,0.000231251,0.000329398,0.000413653,0.000475612,0.000500804,0.000501361,0.000493563,0.000483392,0.000475151,0.000468805,0.000465883,0.000469289,0.000475405,0.000483372
0.96,0.004216756,0.002149296,0.022182233,-120270.3963,-0.00728432,2.07E-05,6.87E-05,0.000141744,0.000226155,0.000326668,0.000415797,0.000485596,0.000516773,0.000519745,0.000511218,0.000499641,0.000490488,0.00048333,0.000479711,0.000482998,0.000489516,0.000497961
0.98,0.006958424,0.003239976,0.031967107,71517.8825,-0.0101057,1.69E-05,6.18E-05,0.000133506,0.000218062,0.000320603,0.000414093,0.000491379,0.000528905,0.000535349,0.000526767,0.000513571,0.000503169,0.000495106,0.000490807,0.000493914,0.000500764,0.000509647
1,0.009606179,0.00118282,0.035669123,298664.9002,-0.0109187,1.18E-05,5.22E-05,0.000121681,0.000206092,0.000310415,0.000407867,0.000492135,0.000536096,0.000547047,0.000539335,0.000524432,0.000512385,0.000503259,0.00049832,0.000501203,0.000508272,0.000517492
1.02,0.010284808,-0.00190626,0.035207233,491485.7386,-0.00828935,5.88E-06,4.03E-05,0.00010629,0.000190123,0.000296029,0.000397142,0.00048781,0.000538078,0.000554451,0.0005487,0.000532187,0.000518107,0.000507677,0.000502129,0.000504764,0.000511908,0.000521314
1.04,0.007574997,-0.003305132,0.032939944,579327.4723,-0.00295156,5.39E-07,2.77E-05,8.87E-05,0.000171186,0.000278477,0.000383024,0.0004795,0.00053581,0.000558346,0.000555695,0.000537889,0.000521476,0.000509423,0.000503245,0.000505618,0.000512685,0.00052209
1.06,0.002218761,-0.001204449,0.020786121,633843.4868,-0.00584834,-3.60E-06,1.61E-05,7.03E-05,0.000150404,0.000258797,0.000366588,0.000468336,0.000530366,0.0005596,0.000561121,0.000542566,0.00052369,0.000509633,0.000502717,0.000504806,0.000511652,0.000520863
1.08,0.005162715,-0.00241289,0.014653027,671314.079,-0.00371952,-6.98E-06,5.81E-06,5.19E-05,0.000128137,0.000237113,0.00034795,0.000454538,0.000521978,0.000558241,0.000564839,0.000546276,0.00052504,0.000508577,0.000500702,0.000502457,0.000508958,0.000517799
1.1,0.003132856,-0.001720216,0.010114319,662213.6582,-0.000622968,-9.57E-06,-3.00E-06,3.45E-05,0.000105189,0.000213833,0.000327437,0.000438568,0.000511168,0.000554605,0.000566965,0.000549278,0.000526047,0.000506809,0.000497642,0.00049895,0.000505009,0.000513344
1.12,0.000152699,-0.00214608,0.004602183,613039.9237,-0.000268416,-1.10E-05,-9.73E-06,1.91E-05,8.29E-05,0.000189875,0.000305768,0.000421265,0.00049888,0.000549483,0.000568053,0.0005522,0.000527593,0.00050531,0.000494419,0.000495083,0.000500615,0.000508366
1.14,-0.000107751,-0.002966658,0.000364834,522938.3922,0.00254818,-1.13E-05,-1.41E-05,6.42E-06,6.24E-05,0.000166099,0.000283489,0.000403238,0.000485833,0.000543495,0.000568505,0.000555453,0.000530296,0.000504848,0.000491753,0.00049147,0.000496391,0.000503526
1.16,-0.002894478,-0.000490705,-0.010482004,389472.7277,0.00419508,-1.04E-05,-1.59E-05,-2.81E-06,4.49E-05,0.000143622,0.000261359,0.00038519,0.000472827,0.000537398,0.000568914,0.000559574,0.000534829,0.00050629,0.000490517,0.000488878,0.00049307,0.000499589
1.18,-0.004606693,-0.002737296,-0.019292612,280386.6341,0.000748099,-8.69E-06,-1.53E-05,-8.46E-06,3.11E-05,0.000123174,0.000239813,0.000367353,0.000460133,0.000531479,0.000569477,0.000564657,0.000541335,0.00050999,0.000491145,0.000487647,0.00049093,0.00049682
1.2,-0.001326269,-0.001099679,-0.008942931,179678.4594,0.00304461,-6.75E-06,-1.32E-05,-1.10E-05,2.07E-05,0.000104971,0.000218908,0.000349471,0.000447433,0.000525487,0.000569923,0.000570302,0.000549383,0.000515725,0.000493556,0.000487636,0.000489733,0.000494925
1.22,-0.003875018,-0.000135322,-0.009457276,113266.7595,-0.000410544,-4.83E-06,-1.02E-05,-1.10E-05,1.37E-05,8.93E-05,0.000198923,0.000331455,0.000434457,0.00051923,0.000570125,0.000576243,0.00055861,0.000523308,0.000497757,0.000488836,0.000489356,0.000493672
1.24,-0.000715038,0.00073084,-0.013657146,76679.8834,-0.000583599,-3.26E-06,-7.14E-06,-9.38E-06,9.64E-06,7.61E-05,0.000179979,0.000313083,0.000420695,0.000512246,0.000569741,0.000582014,0.000568411,0.000532269,0.000503494,0.000491034,0.000489462,0.000492584
