time,wave_main,wave_second,wave_up,baseforce,acc_6,acc_12,acc_18,acc_24,acc_30,acc_36,acc_42,vel_6,vel_12,vel_18,vel_24,vel_30,vel_36,vel_42,dis_6,dis_12,dis_18,dis_24,dis_30,dis_36,dis_42
0.02,0.004882316699999999,0.00330930432,0.01117814685,-5605.18982,0.00344887,0.0036177,0.00359999,0.00359506,0.00359444,0.00359431,0.00359441,3.44887e-05,3.6177e-05,3.59999e-05,3.59506e-05,3.59444e-05,3.59431e-05,3.59441e-05,9.6822e-06,1.36957e-05,1.81881e-05,2.53133e-05,3.27517e-05,4.01944e-05,4.02513e-05
0.04,-0.0036006663,0.00081539616,-0.0077349889500000005,-12534.08254,-0.000814297,0.00019814,0.000162721,0.000128137,0.000122584,0.00012155,0.00012235,6.08343e-05,7.43354e-05,7.36271e-05,7.31825e-05,7.31146e-05,7.31017e-05,7.31117e-05,1.06354e-05,1.48009e-05,1.92843e-05,2.64046e-05,3.38423e-05,4.12849e-05,4.13419e-05
0.06,-0.00013443599999999998,-0.0037343597399999997,0.002810778555,-13392.55758,-0.00106345,0.000709256,0.000906626,0.000798971,0.000774675,0.000770928,0.000772778,4.20568e-05,8.34094e-05,8.43206e-05,8.24536e-05,8.20872e-05,8.20265e-05,8.2063e-05,1.16643e-05,1.63783e-05,2.08638e-05,2.7961e-05,3.53943e-05,4.28362e-05,4.28936e-05
0.08,-0.0007850684999999999,-0.00147752406,0.0046160711999999994,-11692.82706,-0.0015013,-0.000898002,1.68872e-05,-0.000130123,-0.000209046,-0.000218784,-0.000218719,1.64093e-05,8.15219e-05,9.35557e-05,8.91421e-05,8.77435e-05,8.75479e-05,8.76036e-05,1.2249e-05,1.80276e-05,2.26426e-05,2.96769e-05,3.70926e-05,4.45319e-05,4.45903e-05
0.1,0.00020463393,0.00321333609,0.0176527728,-11638.64257,0.00106509,-0.000117913,0.00136562,0.00145252,0.00127049,0.00124278,0.00123476,1.20473e-05,7.13628e-05,0.000107381,0.000102366,9.83579e-05,9.77879e-05,9.7764e-05,1.25336e-05,1.95565e-05,2.46519e-05,3.1592e-05,3.89536e-05,4.63853e-05,4.6444e-05
0.12,-0.0012565022999999997,0.00168439026,0.0135940857,-9765.6225,-0.00184457,-0.00294149,-0.00206794,-0.00132906,-0.00159415,-0.00167763,-0.00169574,4.25248e-06,4.07687e-05,0.000100358,0.000103601,9.51213e-05,9.34394e-05,9.31542e-05,1.26966e-05,2.06778e-05,2.67293e-05,3.36517e-05,4.08884e-05,4.82975e-05,4.83531e-05
0.14,0.0016694186999999998,-0.00213863757,0.0115378575,-11032.90555,0.00278325,0.00266289,0.00215267,0.00351341,0.00339622,0.00319668,0.00316499,1.36392e-05,3.79827e-05,0.000101205,0.000125444,0.000113142,0.00010863,0.000107847,1.28755e-05,2.14653e-05,2.87449e-05,3.59421e-05,4.2971e-05,5.03182e-05,5.03632e-05
0.16,-0.0031938342,0.000899274075,-0.01560227955,-16722.0492,0.000116707,0.000429986,-0.000579252,0.000532007,0.000963359,0.000637125,0.000551125,4.26387e-05,6.89115e-05,0.000116939,0.000165898,0.000156738,0.000146968,0.000145008,1.34383e-05,2.25343e-05,3.09264e-05,3.88556e-05,4.56698e-05,5.28742e-05,5.28917e-05
0.18,-0.0005952618,-0.001454786985,-0.02173953795,-10727.63198,-0.00519634,-0.0046153,-0.00491597,-0.0049048,-0.00379971,-0.0040837,-0.00430959,-8.15762e-06,2.70583e-05,6.1987e-05,0.00012217,0.000128374,0.000112502,0.000107423,1.37831e-05,2.34939e-05,3.27156e-05,4.17362e-05,4.8521e-05,5.54689e-05,5.5416e-05
0.2,0.0042458979,0.002856474555,-0.001962039105,1098.77245,-0.000771495,-0.00144639,-0.00101723,-0.00173085,-0.000509281,-0.000406272,-0.000824907,-6.7836e-05,-3.35587e-05,2.65501e-06,5.58137e-05,8.52845e-05,6.76025e-05,5.60781e-05,1.30231e-05,2.34289e-05,3.33621e-05,4.35161e-05,5.06575e-05,5.727e-05,5.7051e-05
0.22,0.0007571205,-0.00470126415,-0.0142533729,-4092.97182,0.00596383,0.00335497,0.00371329,0.00336508,0.00391388,0.00462205,0.00413408,-1.59126e-05,-1.44729e-05,2.96156e-05,7.2156e-05,0.00011933,0.00010976,8.91698e-05,1.21857e-05,2.29486e-05,3.36848e-05,4.47958e-05,5.27037e-05,5.90436e-05,5.85035e-05
0.24,-0.0041386449,-0.002150493795,-0.01584049545,-14770.19877,0.00088728,0.000347315,-0.000399449,7.34019e-06,-0.000244437,0.000808414,0.000639615,5.25985e-05,2.255e-05,6.2754e-05,0.00010588,0.000156025,0.000164065,0.000136907,1.25525e-05,2.30294e-05,3.46085e-05,4.65761e-05,5.54572e-05,6.17818e-05,6.07643e-05
