time,wave_main,wave_second,wave_up,baseforce,acc_6,acc_12,acc_18,acc_24,acc_30,acc_36,acc_42,vel_6,vel_12,vel_18,vel_24,vel_30,vel_36,vel_42,dis_6,dis_12,dis_18,dis_24,dis_30,dis_36,dis_42
0.02,0.018227399999999998,-0.0036950673,-0.068326128,6823.83014,-0.00407928,-0.0043075,-0.00428356,-0.0042768,-0.00427587,-0.0042757,-0.00427565,-4.07928e-05,-4.3075e-05,-4.28356e-05,-4.2768e-05,-4.27587e-05,-4.2757e-05,-4.27565e-05,8.92939e-06,1.29032e-05,1.73997e-05,2.45261e-05,3.19646e-05,3.94074e-05,3.94643e-05
0.04,0.0042832146,0.00312912438,-0.001536492555,-10613.44538,0.016495,0.0160896,0.0160357,0.016057,0.0160611,0.0160615,0.0160617,8.33647e-05,7.47462e-05,7.46858e-05,7.50344e-05,7.50938e-05,7.51014e-05,7.51042e-05,9.35511e-06,1.32199e-05,1.77182e-05,2.48488e-05,3.2288e-05,3.97309e-05,3.97878e-05
0.06,-0.016074995999999998,-0.0092119617,0.003373344,-38144.45807,-0.00448225,-0.00188097,-0.00229629,-0.00233062,-0.00232488,-0.00232511,-0.002325,0.000203492,0.000216833,0.00021208,0.000212299,0.000212456,0.000212466,0.000212471,1.22237e-05,1.61357e-05,2.05859e-05,2.77221e-05,3.51635e-05,4.26065e-05,4.26635e-05
0.08,0.0022877223,-0.00090396021,-0.00433797585,-25906.73964,-0.0103943,-0.00430428,-0.0043243,-0.00464061,-0.00465319,-0.00465431,-0.00465426,5.47267e-05,0.00015498,0.000145874,0.000142586,0.000142675,0.000142672,0.000142679,1.48059e-05,1.98539e-05,2.41654e-05,3.12709e-05,3.87148e-05,4.61579e-05,4.6215e-05
0.1,0.004630749,0.004931669400000001,-0.037021257,25916.9514,-0.02215,-0.0227827,-0.0201318,-0.0207449,-0.0208708,-0.0208706,-0.0208665,-0.000270716,-0.00011589,-9.86865e-05,-0.000111268,-0.000112564,-0.000112577,-0.000112529,1.2646e-05,2.02448e-05,2.46373e-05,3.15841e-05,3.90159e-05,4.64589e-05,4.65165e-05
0.12,0.020892099,-0.0102747303,-0.029592076800000002,46220.34423,0.0191881,0.00678305,0.011373,0.0115429,0.0111152,0.0110958,0.0111135,-0.000300335,-0.000275886,-0.000186274,-0.000203288,-0.00021012,-0.000210325,-0.00021006,6.93546e-06,1.6327e-05,2.17877e-05,2.84386e-05,3.57891e-05,4.32298e-05,4.32907e-05
0.14,-0.011065316999999998,-7.39511985e-05,-0.01111900725,38573.08094,-0.00273656,-0.0135678,-0.013637,-0.0109598,-0.0116322,-0.0117747,-0.0117505,-0.00013582,-0.000343734,-0.000208914,-0.000197458,-0.00021529,-0.000217114,-0.00021643,2.57391e-06,1.01308e-05,1.78358e-05,2.44311e-05,3.1535e-05,3.89554e-05,3.90258e-05
0.16,0.011789363999999998,-0.001244105985,0.002416671465,44123.55459,0.00605546,0.0074864,-0.000887087,0.00348796,0.00350727,0.00307224,0.00303611,-0.000102631,-0.000404548,-0.000354155,-0.000272176,-0.000296539,-0.000304138,-0.000303574,1.89399e-07,2.64799e-06,1.22051e-05,1.97348e-05,2.64167e-05,3.37429e-05,3.38257e-05
0.18,-0.0030382739999999997,0.0028518751199999998,-0.036824345999999994,34002.29414,0.00474538,0.0105241,0.000872525,0.00214918,0.00432648,0.00365019,0.00340961,5.3775e-06,-0.000224443,-0.000354301,-0.000215805,-0.000218201,-0.000236914,-0.000239117,-7.83135e-07,-3.64193e-06,5.12054e-06,1.4855e-05,2.12693e-05,2.83324e-05,2.83988e-05
0.2,-0.0035216928,-0.0118231923,-0.0027810761549999998,-5790.35231,0.0146638,0.0190752,0.0162655,0.0108878,0.0150527,0.0148442,0.0142307,0.000199469,7.15495e-05,-0.000182921,-8.54355e-05,-2.44098e-05,-5.19697e-05,-6.27136e-05,1.26533e-06,-5.17087e-06,-2.51676e-07,1.18426e-05,1.88432e-05,2.54436e-05,2.53805e-05
0.22,-0.014458194,0.0050553036,0.08690604,-42915.5696,0.00119924,0.0096087,0.0124713,0.00368867,0.00656379,0.00799991,0.00703748,0.0003581,0.000358389,0.000104447,6.03289e-05,0.000191755,0.000176472,0.000149968,6.84103e-06,-8.71484e-07,-1.03641e-06,1.15915e-05,2.05166e-05,2.66886e-05,2.6253e-05
