time,wave_main,wave_second,wave_up,baseforce,acc_6,acc_12,acc_18,acc_24,acc_30,acc_36,acc_42,vel_6,vel_12,vel_18,vel_24,vel_30,vel_36,vel_42,dis_6,dis_12,dis_18,dis_24,dis_30,dis_36,dis_42
0.02,0.007304577,-0.00201404967,0.00788131305,14883.60484,-0.00942087,-0.00983115,-0.00978566,-0.00977403,-0.0097724,-0.009772,-0.0097721,-9.42087e-05,-9.83115e-05,-9.78566e-05,-9.77403e-05,-9.7724e-05,-9.772e-05,-9.7721e-05,8.39523e-06,1.23509e-05,1.68495e-05,2.39764e-05,3.1415e-05,3.88578e-05,3.89147e-05
0.04,0.009789194999999999,-0.007737671549999999,0.007049645849999999,48646.4587,-0.00764912,-0.0106865,-0.0105321,-0.010437,-0.0104222,-0.0104191,-0.01042,-0.000264909,-0.000303488,-0.000301035,-0.000299851,-0.00029967,-0.000299631,-0.000299642,4.80406e-06,8.33287e-06,1.28606e-05,2.00005e-05,2.74411e-05,3.48843e-05,3.4941e-05
0.06,0.010471218,0.00111211824,-0.0116269647,87273.327,-0.00522235,-0.0133024,-0.013578,-0.0132055,-0.0131323,-0.0131207,-0.013123,-0.000393623,-0.000543376,-0.000542136,-0.000536276,-0.000535215,-0.00053503,-0.000535073,-1.78126e-06,-1.35767e-07,4.42887e-06,1.16392e-05,1.90922e-05,2.65377e-05,2.65939e-05
0.08,0.013211141999999999,0.01340195595,-0.046553208,129474.35162,-0.00404118,-0.0148296,-0.0174624,-0.0166397,-0.0163709,-0.0163379,-0.0163372,-0.000486259,-0.000824696,-0.00085254,-0.000834729,-0.000830247,-0.000829615,-0.000829675,-1.05801e-05,-1.38165e-05,-9.5179e-06,-2.07085e-06,5.43758e-06,1.28912e-05,1.29464e-05
0.1,0.016472439,0.018531821549999997,-0.018385056299999997,157870.17301,0.0078273,-0.000752974,-0.00775998,-0.00697319,-0.00621813,-0.00612071,-0.00610894,-0.000448397,-0.000980522,-0.00110476,-0.00107086,-0.00105614,-0.0010542,-0.00105414,-1.99266e-05,-3.18687e-05,-2.90909e-05,-2.11267e-05,-1.34263e-05,-5.94693e-06,-5.89172e-06
0.12,0.0062824859999999995,0.014625726450000001,0.01157382525,156782.42794,0.00830792,0.00552524,-0.00512921,-0.0061914,-0.00464227,-0.00433026,-0.0043142,-0.000287045,-0.0009328,-0.00123366,-0.0012025,-0.00116474,-0.00115871,-0.00115837,-2.72811e-05,-5.10019e-05,-5.24751e-05,-4.38603e-05,-3.56351e-05,-2.8076e-05,-2.80168e-05
0.14,0.004496093699999999,-0.02152037055,0.0310828323,162317.8231000001,-0.00613713,-0.00165283,-0.0117277,-0.0170242,-0.0149389,-0.0140751,-0.0140451,-0.000265337,-0.000894075,-0.00140222,-0.00143466,-0.00136055,-0.00134276,-0.00134196,-3.28049e-05,-6.92706e-05,-7.88339e-05,-7.0232e-05,-6.0888e-05,-5.30908e-05,-5.30201e-05
0.16,0.014243228999999998,-0.0134157846,0.0115251279,180242.01976,0.000199154,0.00529152,0.000690127,-0.00916176,-0.00805704,-0.0062386,-0.00600475,-0.000324717,-0.000857689,-0.0015126,-0.00169652,-0.00159051,-0.0015459,-0.00154246,-3.87054e-05,-8.67883e-05,-0.000107982,-0.000101544,-9.03987e-05,-8.19774e-05,-8.18643e-05
0.18,0.006305742,0.002938232655,0.0146946657,181423.5896,0.00582845,0.00440783,0.00627487,-0.00476377,-0.00709452,-0.00432184,-0.00337268,-0.000264441,-0.000760695,-0.00144295,-0.00183577,-0.00174203,-0.0016515,-0.00163623,-4.4597e-05,-0.000102972,-0.000137538,-0.000136867,-0.000123724,-0.000113951,-0.000113651
0.2,0.003939954,0.0019337004450000002,-0.0056059965,178468.5719,0.00182297,1.10277e-05,0.00330545,-0.00387351,-0.0111165,-0.00844857,-0.00611802,-0.000187927,-0.000716507,-0.00134715,-0.00192215,-0.00192414,-0.00177921,-0.00173114,-4.91207e-05,-0.000117744,-0.000165439,-0.000174446,-0.000160386,-0.000148259,-0.000147325
0.22,0.007036368,-0.0136952187,-0.03108067755,225395.0106,-0.0259977,-0.0235347,-0.0239229,-0.0249158,-0.0355153,-0.0350957,-0.0311138,-0.000429675,-0.000951743,-0.00155332,-0.00221004,-0.00239046,-0.00221465,-0.00210346,-5.52967e-05,-0.000134427,-0.000194443,-0.000215768,-0.000203532,-0.000188197,-0.000185671
0.24,0.032171922,0.02344016865,-0.022638333899999998,292395.0852,-0.000600992,-0.0050875,-0.00681524,-0.0047757,-0.0141204,-0.01796,-0.0132608,-0.000695662,-0.00123796,-0.0018607,-0.00250695,-0.00288681,-0.00274521,-0.00254721,-6.65501e-05,-0.000156324,-0.000228584,-0.000262938,-0.000256304,-0.000237796,-0.000232178
0.26,0.013658411999999998,0.014182386,0.0061748173499999994,297339.5064,0.0213928,0.00711676,0.00694891,0.00742488,0.00309492,-0.00469495,-0.00199282,-0.000487743,-0.00121767,-0.00185937,-0.00248046,-0.00299707,-0.00297176,-0.00269974,-7.83841e-05,-0.00018088,-0.000265784,-0.000312812,-0.000315143,-0.000294966,-0.000284647
0.28,0.00020508986999999998,0.0198901938,-0.053488519500000005,282287.9661000001,0.00289824,-0.00166266,-0.00590399,-0.00726991,-0.00717197,-0.0158051,-0.0187688,-0.000244833,-0.00116313,-0.00184892,-0.00247891,-0.00303784,-0.00317676,-0.00290736,-8.57099e-05,-0.000204688,-0.000302867,-0.000362406,-0.000375492,-0.000356451,-0.000340718
0.3,0.01309782,0.0153876027,-0.01400332245,287338.0464999999,0.0022471,0.0137921,0.00287087,0.00126964,0.00237334,-0.00359354,-0.0143325,-0.000193379,-0.00104184,-0.00187925,-0.00253892,-0.00308582,-0.00337075,-0.00323837,-9.0092e-05,-0.000226738,-0.000340149,-0.000412584,-0.000436729,-0.000421926,-0.000402176
0.32,0.0040327485,0.013560703649999999,0.0514047105,265856.7471,0.00942524,0.0201105,0.0134943,0.00904325,0.00935553,0.00653828,-0.010099,-7.66558e-05,-0.00070281,-0.0017156,-0.00243579,-0.00296854,-0.0033413,-0.00348269,-9.27923e-05,-0.000244184,-0.000376097,-0.000462331,-0.000497272,-0.000489046,-0.000469386
0.34,-0.0036162519,-0.0177130701,0.0505288875,262033.6573999999,-0.0166054,-0.0115142,-0.00633485,-0.0154588,-0.0159312,-0.0184634,-0.0355002,-0.000148457,-0.000616847,-0.001644,-0.00249994,-0.00303429,-0.00346055,-0.00393868,-9.50435e-05,-0.000257381,-0.000409693,-0.000511688,-0.000557301,-0.000557065,-0.0005436
0.36,0.021454730999999998,-0.0449795265,0.056110352999999995,318970.0971000002,-0.0220298,-0.0198628,-0.00976019,-0.0172853,-0.0203765,-0.0254705,-0.0372589,-0.000534809,-0.000930617,-0.00180495,-0.00282738,-0.00339737,-0.00389989,-0.00466627,-0.000101876,-0.000272855,-0.000444183,-0.000564961,-0.000621617,-0.000630669,-0.000629649
0.38,0.026157236999999996,-0.0321576369,0.0494999115,337949.0562000001,0.0210361,0.0118978,0.0197549,0.0213453,0.0127995,0.00480052,0.000289207,-0.000544746,-0.00101027,-0.00170501,-0.00278678,-0.00347314,-0.00410659,-0.00503596,-0.000112672,-0.000292264,-0.000479282,-0.000621103,-0.000690322,-0.000710734,-0.000726672
0.4,-0.007112867999999999,-0.02425679595,-0.0222173289,325334.3278999999,-0.000663839,-0.0137822,-0.00996375,-0.000420809,-0.0129215,-0.0229913,-0.0225708,-0.000341023,-0.00102911,-0.00160709,-0.00257754,-0.00347436,-0.0042885,-0.00525878,-0.000121529,-0.000312658,-0.000512403,-0.000674746,-0.000759797,-0.000794685,-0.000829619
0.42,0.01873383,0.02428046505,-0.012772695,335025.6548,0.0102529,0.0111627,0.00734789,0.0179884,0.00786033,-0.00379284,-0.00278572,-0.000245133,-0.00105531,-0.00163325,-0.00240186,-0.00352497,-0.00455634,-0.00551235,-0.000127391,-0.000333502,-0.000544807,-0.00072454,-0.000829791,-0.000883133,-0.00093733
0.44,-0.0005481173999999999,0.0214528746,-0.0170463267,343108.98654,-0.00702776,0.00192629,-0.00664507,-0.00164431,-0.00471331,-0.0165008,-0.0187555,-0.000212881,-0.000924417,-0.00162622,-0.00223842,-0.0034935,-0.00475927,-0.00572776,-0.000131971,-0.0003533,-0.000577402,-0.000770943,-0.000899975,-0.000976289,-0.00104973
0.46,0.014097572999999999,0.00479966865,-0.0490179105,388846.7856999998,-0.0197495,-0.0152519,-0.018247,-0.0230844,-0.0200495,-0.0285163,-0.0366964,-0.000480654,-0.00105767,-0.00187515,-0.00248571,-0.00374113,-0.00520944,-0.00628228,-0.000138906,-0.00037312,-0.000612415,-0.000818185,-0.000972321,-0.00107598,-0.00116983
0.48,0.029906756999999996,0.008480473799999999,-0.0671854365,440705.2675,0.00805248,0.00458989,0.0091668,-0.0036542,0.000979228,-0.00121766,-0.0153929,-0.000597624,-0.00116429,-0.00196595,-0.00275309,-0.00393183,-0.00550678,-0.00680317,-0.000149689,-0.00039534,-0.000650826,-0.000870573,-0.00104905,-0.00118314,-0.00130069
0.5,0.006927533999999999,0.0654407265,0.00162618651,445611.3125,0.00958371,0.000606623,0.00359971,-0.00853364,-0.00727639,-0.00391134,-0.0200787,-0.000421262,-0.00111233,-0.00183828,-0.00287497,-0.0039948,-0.00555807,-0.00715789,-0.000159878,-0.000418106,-0.000688869,-0.000926853,-0.00112832,-0.00129379,-0.0014403
0.52,0.012121578000000001,-0.00694965525,0.0586092,404942.52895,0.0294042,0.0307442,0.0245368,0.0205022,0.0157395,0.0204481,0.00929831,-3.13833e-05,-0.000798821,-0.00155692,-0.00275529,-0.00391017,-0.00539271,-0.00726569,-0.000164405,-0.000437218,-0.000722821,-0.000983156,-0.00120737,-0.0014033,-0.00158453
0.54,-0.013247811,-0.0594766335,0.0024787050599999996,392234.0736999999,-0.027809,-0.0106109,-0.0226266,-0.0217006,-0.0298424,-0.028648,-0.0289826,-1.54317e-05,-0.000597488,-0.00153782,-0.00276727,-0.0040512,-0.00547471,-0.00746253,-0.000164873,-0.000451181,-0.000753768,-0.00103838,-0.00128698,-0.00151197,-0.00173181
0.56,0.032002805999999995,-0.0165732252,0.01786867875,419306.4093,0.00551822,0.0158398,0.0116815,0.00950104,0.00295462,-0.00151529,0.00943728,-0.00023834,-0.0005452,-0.00164727,-0.00288927,-0.00432008,-0.00577634,-0.00765799,-0.00016741,-0.000462608,-0.000785619,-0.00109495,-0.00137069,-0.00162448,-0.00188302
0.58,0.000772548,0.0180048156,0.072057492,367328.08015,0.0330495,0.0240635,0.0346061,0.027423,0.0232055,0.0157892,0.0322204,0.000147338,-0.000146167,-0.00118439,-0.00252003,-0.00405848,-0.0056336,-0.00724141,-0.00016832,-0.000469521,-0.000813935,-0.00114904,-0.00145448,-0.00173858,-0.00203201
0.6,-0.018134937,0.019199281500000002,-0.03020001465,336206.6605000001,-0.0289852,-0.0324388,-0.0217439,-0.0258643,-0.0320641,-0.0364542,-0.0234394,0.000187981,-0.00022992,-0.00105577,-0.00250444,-0.00414706,-0.00584025,-0.0071536,-0.000164967,-0.000473282,-0.000836337,-0.00119928,-0.00153653,-0.00185332,-0.00217596
0.62,0.036615399,-0.0656938905,0.0104485485,419518.867,-0.0349077,-0.0244766,-0.0257638,-0.0211002,-0.0305275,-0.0287904,-0.0251991,-0.000450948,-0.000799074,-0.00153085,-0.00297408,-0.00477298,-0.0064927,-0.00763999,-0.000167597,-0.000483572,-0.000862203,-0.00125407,-0.00162573,-0.00197665,-0.0023239
0.64,0.034173927,-0.0004892350949999999,-0.056718987000000005,499471.7866999997,-0.0102698,-0.0212014,-0.0230181,-0.016774,-0.0226115,-0.0182442,-0.0236342,-0.000902723,-0.00125585,-0.00201866,-0.00335283,-0.00530437,-0.00696304,-0.00812832,-0.000181134,-0.000504122,-0.000897698,-0.00131734,-0.00172651,-0.0021112,-0.00248158
0.66,0.028176326999999998,0.04334917635,-0.048106948499999996,479864.807,0.0518057,0.0190832,0.0232241,0.0222847,0.0279276,0.0289575,0.0195107,-0.000487365,-0.00127704,-0.0020166,-0.00329772,-0.00525121,-0.00685591,-0.00816956,-0.000195034,-0.00052945,-0.000938051,-0.00138384,-0.00183206,-0.00224939,-0.00264456
0.68,-0.017160428999999998,0.099936489,-0.150037563,408349.0098,0.0168808,0.00911248,-0.000150851,-0.00211394,0.0123054,0.00928343,-3.90785e-05,0.0001995,-0.00099508,-0.00178587,-0.00309601,-0.00484888,-0.0064735,-0.00797484,-0.000197913,-0.000552172,-0.000976076,-0.00144778,-0.00193306,-0.00238269,-0.00280601
0.7,0.0027946163999999995,0.0365671122,-0.1365093795,384410.4826,-0.0103439,0.0172648,-0.0117845,-0.0074116,0.00583319,0.00377788,-0.00446261,0.000264868,-0.000731307,-0.00190523,-0.00319127,-0.00466749,-0.00634289,-0.00801986,-0.000193269,-0.000569435,-0.00101299,-0.00151065,-0.00202823,-0.00251085,-0.00296595
0.72,0.009003488999999998,0.052675452,0.045706225499999996,376625.1289499998,-0.00419809,0.0195333,0.00142744,0.00211391,0.010167,0.0124904,0.0057055,0.000119448,-0.000363326,-0.0020088,-0.00324424,-0.00450749,-0.0061802,-0.00800743,-0.000189426,-0.000580382,-0.00105213,-0.00157501,-0.00211998,-0.00263608,-0.00312623
0.74,0.0011550684,-0.0134824569,0.12361402949999999,337397.76752,0.000113258,-0.00035945,0.0139687,0.000598832,0.00576876,0.0105911,0.00810297,7.86e-05,-0.000171587,-0.00185484,-0.00321712,-0.00434813,-0.00594939,-0.00786934,-0.000187446,-0.000585731,-0.00109076,-0.00163962,-0.00220853,-0.00275738,-0.00328499
0.76,0.002333709,-0.090795708,0.091435656,420512.6211999999,-0.0792875,-0.0880687,-0.0596498,-0.0738422,-0.0751487,-0.0699597,-0.0644126,-0.000713143,-0.00105587,-0.00231165,-0.00394955,-0.00504193,-0.00654307,-0.00843244,-0.000193791,-0.000598006,-0.00113243,-0.00171129,-0.00230244,-0.0028823,-0.00344801
0.78,0.08059274999999999,-0.055432078499999995,0.1094351115,447766.67019,0.0691114,0.0506492,0.0692892,0.074788,0.0595864,0.0655991,0.0793156,-0.000814903,-0.00143006,-0.00221525,-0.00394009,-0.00519755,-0.00658668,-0.00828341,-0.000209072,-0.000622865,-0.0011777,-0.00179019,-0.00240483,-0.0030136,-0.00361517
0.8,-0.057364799999999994,-0.0385916439,0.086956428,297083.8568600001,0.0263565,0.00595805,0.0101123,0.0321947,0.00990346,0.0148981,0.0329001,0.000139776,-0.000863992,-0.00142124,-0.00287026,-0.00450266,-0.00578171,-0.00716125,-0.000215823,-0.000645805,-0.00121406,-0.00185829,-0.00250183,-0.00313728,-0.00376962
0.82,-0.008139345,-0.0281712576,0.12942953399999998,228236.0292099999,-0.00478219,0.0150036,0.00509026,0.0247552,0.0143325,0.0121877,0.0297812,0.00035552,-0.000654375,-0.00126921,-0.00230077,-0.0042603,-0.00551085,-0.00653444,-0.00021087,-0.000660989,-0.00124097,-0.00191,-0.00258946,-0.00325021,-0.00390657
