time,wave_main,wave_second,wave_up,baseforce,acc_6,acc_12,acc_18,acc_24,acc_30,acc_36,acc_42,vel_6,vel_12,vel_18,vel_24,vel_30,vel_36,vel_42,dis_6,dis_12,dis_18,dis_24,dis_30,dis_36,dis_42
0.02,-0.0015428775,0.00411387165,-0.001550236545,-11066.67543,0.0066737,0.00703793,0.00699897,0.00698815,0.00698665,0.00698642,0.00698633,6.6737e-05,7.03793e-05,6.99897e-05,6.98815e-05,6.98665e-05,6.98642e-05,6.98633e-05,1.00047e-05,1.40378e-05,1.85279e-05,2.56526e-05,3.30909e-05,4.05336e-05,4.05905e-05
0.04,-0.006998678999999999,-0.0046595614499999995,0.0068551216500000005,-37920.6166,0.00683006,0.0092231,0.00911925,0.00903441,0.00902114,0.00901924,0.00901856,0.000201775,0.00023299,0.000231172,0.000230107,0.000229944,0.000229921,0.000229912,1.26898e-05,1.70715e-05,2.15396e-05,2.86525e-05,3.6089e-05,4.35315e-05,4.35883e-05
0.06,-0.009059129999999999,0.0062714445,0.0006034626,-51368.3158857,-0.00634184,-0.000837394,-0.000472337,-0.000762622,-0.000825337,-0.000832733,-0.000834529,0.000206657,0.000316847,0.000317641,0.000312825,0.000311902,0.000311786,0.000311752,1.67741e-05,2.25698e-05,2.70277e-05,3.40818e-05,4.15075e-05,4.89486e-05,4.90049e-05
0.08,0.0007803816,-0.00617473065,-0.00083264181,-22230.22051,-0.018852,-0.0150095,-0.0126739,-0.0131371,-0.0133461,-0.0133703,-0.0133706,-4.5282e-05,0.000158378,0.000186179,0.000173828,0.000170188,0.000169756,0.000169701,1.83879e-05,2.73221e-05,3.20659e-05,3.89483e-05,4.63284e-05,5.3764e-05,5.38194e-05
0.1,0.013345577999999999,-0.00331062216,-0.00321989265,11469.06567,0.000756354,-0.00503201,-0.000207071,-8.02207e-05,-0.000576433,-0.000656083,-0.000651324,-0.000226239,-4.20365e-05,5.73693e-05,4.16544e-05,3.09632e-05,2.94918e-05,2.94817e-05,1.56727e-05,2.84855e-05,3.45014e-05,4.11032e-05,4.83399e-05,5.57564e-05,5.58113e-05
0.12,0.0006566403,0.01539674955,-0.00678060045,10983.07377,0.00879665,-0.0032309,0.00029316,0.00248519,0.00174967,0.00151208,0.00150795,-0.000130709,-0.000124666,5.82302e-05,6.57041e-05,4.26956e-05,3.80517e-05,3.8048e-05,1.21032e-05,2.68185e-05,3.56574e-05,4.21767e-05,4.90765e-05,5.64319e-05,5.64866e-05
0.14,-0.0015104771999999997,-0.0106021095,1.858478505e-06,-5871.908492,0.00785368,0.00397326,0.000604707,0.00521016,0.00492068,0.00437261,0.00429775,3.57944e-05,-0.000117242,6.72089e-05,0.000142658,0.000109399,9.68986e-05,9.6105e-05,1.1154e-05,2.43994e-05,3.69118e-05,4.42604e-05,5.05974e-05,5.77814e-05,5.78281e-05
0.16,-0.0043458681,-0.000294052587,-0.0022713286049999997,-4788.63757,-0.00884784,-0.00214254,-0.0110075,-0.00698069,-0.00549961,-0.00635903,-0.00664939,2.58528e-05,-9.89349e-05,-3.68186e-05,0.000124952,0.00010361,7.70343e-05,7.25886e-05,1.17705e-05,2.22376e-05,3.72157e-05,4.69365e-05,5.27275e-05,5.95207e-05,5.9515e-05
0.18,0.0065324369999999994,-0.0002091060945,0.0054134944499999995,8162.47665,-0.00101894,0.00345554,-0.0016787,-0.0027803,0.00112971,0.000475953,-0.000240626,-7.2815e-05,-8.58049e-05,-0.00016368,2.73425e-05,5.99107e-05,1.82035e-05,3.68843e-06,1.13009e-05,2.03902e-05,3.52107e-05,4.84594e-05,5.43627e-05,6.04731e-05,6.02778e-05
0.2,4.2839438999999995e-05,-0.00238665159,-0.0065804739,13980.33136,-0.000227313,-0.00342958,-0.000665085,-0.00702769,-0.002519,-0.00186661,-0.00307762,-8.52775e-05,-8.55454e-05,-0.000187118,-7.07374e-05,4.60178e-05,4.29693e-06,-2.9494e-05,9.71995e-06,1.86767e-05,3.17027e-05,4.80255e-05,5.5422e-05,6.06981e-05,6.00197e-05
0.22,0.0028758237,0.003295419315,-0.0051040392,32193.6215,-0.00746007,-0.0117692,-0.00794026,-0.0135373,-0.0121053,-0.00934385,-0.0105433,-0.000162151,-0.000237533,-0.000273171,-0.000276387,-0.000100225,-0.000107808,-0.000165703,7.24567e-06,1.54459e-05,2.70998e-05,4.45542e-05,5.48799e-05,5.9663e-05,5.80678e-05
0.24,0.010675064999999997,0.0044888058000000005,-0.012616657949999999,44320.344997,0.00802044,0.00533791,0.00420114,0.00418462,0.000902707,0.00491443,0.00501896,-0.000156548,-0.000301846,-0.000310563,-0.000369913,-0.000212251,-0.000152102,-0.000220946,4.05868e-06,1.00521e-05,2.12625e-05,3.80912e-05,5.17552e-05,5.70639e-05,5.42013e-05
0.26,-0.0040138887,-0.00117519249,-0.00408577065,36955.57621,0.000818339,-0.00112865,-0.00511328,-0.00218867,-0.00713098,-0.00445442,-0.00161671,-6.81598e-05,-0.000259753,-0.000319684,-0.000349954,-0.000274534,-0.000147502,-0.000186924,1.8116e-06,4.43616e-06,1.496e-05,3.08925e-05,4.68873e-05,5.40678e-05,5.01226e-05
0.28,0.0039474612,0.0043747953,0.002688342345,27446.99809,0.00696585,0.0087591,0.00532812,0.00573943,0.00360448,0.00297342,0.00862921,9.68205e-06,-0.000183449,-0.000317536,-0.000314446,-0.000309799,-0.000162312,-0.000116799,1.22682e-06,4.13727e-09,8.5878e-06,2.42485e-05,4.1044e-05,5.09697e-05,4.70854e-05
0.3,-0.005155386,-0.00959305155,0.00171581748,17593.66422,-0.00182109,0.00318423,0.00123534,-0.00192393,-0.000858197,-0.00357444,0.00264349,6.11296e-05,-6.40153e-05,-0.000251901,-0.000276291,-0.000282336,-0.000168322,-4.07176e-06,1.93494e-06,-2.4705e-06,2.89344e-06,1.83411e-05,3.51226e-05,4.76634e-05,4.58767e-05
0.32,0.0007988334,0.01813031385,0.0018973369349999999,-4990.69894,0.0117834,0.0159042,0.0165441,0.0122747,0.0130573,0.0117221,0.0150552,0.000160752,0.000126869,-7.41069e-05,-0.000172784,-0.000160346,-8.68458e-05,0.000172915,4.15376e-06,-1.84197e-06,-3.66639e-07,1.38504e-05,3.06958e-05,4.51117e-05,4.75651e-05
0.34,-0.013348994999999999,-0.0003179310675,-0.00734726655,-12733.49691,-0.0141196,-0.0100276,-0.00672899,-0.0100999,-0.0119238,-0.0101334,-0.0114416,0.000137389,0.000185635,2.40438e-05,-0.000151035,-0.000149011,-7.09597e-05,0.000209051,7.13517e-06,1.28306e-06,-8.67269e-07,1.06122e-05,2.76022e-05,4.35336e-05,5.13848e-05
0.36,0.010463007,-0.016745064599999998,0.01288146015,2728.446475,-0.00218412,0.00105563,0.00511072,0.00378605,0.000456114,0.00330283,-0.000986564,-2.56483e-05,9.59155e-05,7.86115e-06,-0.000214173,-0.000263687,-0.000139266,8.47696e-05,8.25258e-06,4.09857e-06,-5.4822e-07,6.96013e-06,2.34752e-05,4.14314e-05,5.4323e-05
0.38,-0.0020031576,0.0051420903,-0.0079494363,20204.09432,-0.00841133,-0.0119441,-0.00792552,-0.00659773,-0.00919357,-0.00879462,-0.0126645,-0.000131603,-1.29696e-05,-2.02869e-05,-0.00024229,-0.000351062,-0.000194184,-5.17415e-05,6.68007e-06,4.92802e-06,-6.72477e-07,2.3955e-06,1.73278e-05,3.80969e-05,5.46532e-05
0.4,0.009327899999999998,-0.00665504865,-0.0087117537,32486.714013,0.00524762,-0.00322787,-0.00027886,0.00344362,0.00280537,-0.000635698,-0.00231977,-0.00016324,-0.00016469,-0.000102331,-0.000273831,-0.000414944,-0.000288487,-0.000201585,3.73164e-06,3.15143e-06,-1.89865e-06,-2.76571e-06,9.66769e-06,3.32702e-05,5.212e-05
0.42,-0.00029873454,0.0079577595,0.00429289185,56736.0051,-0.0107861,-0.0166108,-0.0182159,-0.0125999,-0.0113131,-0.0170976,-0.0178394,-0.000218624,-0.000363077,-0.000287278,-0.000365394,-0.000500021,-0.00046582,-0.000403177,-8.70007e-08,-2.12623e-06,-5.79474e-06,-9.15797e-06,5.18044e-07,2.57271e-05,4.60724e-05
0.44,0.015525164999999999,0.0027460751099999997,-0.018450627,64974.45466,0.014259,0.0109779,0.00459056,0.0105585,0.0131736,0.00769901,0.00532871,-0.000183895,-0.000419406,-0.000423532,-0.000385808,-0.000481416,-0.000559806,-0.000528284,-4.11219e-06,-9.95106e-06,-1.29028e-05,-1.667e-05,-9.29632e-06,1.54709e-05,3.67578e-05
0.46,-0.008549487,0.00282188559,0.008903758500000001,30385.1689,0.0127331,0.0118595,0.00552289,0.00837435,0.0118474,0.00862416,0.00339266,8.60264e-05,-0.000191032,-0.000322398,-0.00019648,-0.000231206,-0.000396574,-0.00044107,-5.09088e-06,-1.60554e-05,-2.03621e-05,-2.24929e-05,-1.64225e-05,5.90707e-06,2.70642e-05
0.48,-0.00802536,-0.00608239515,-0.00431649465,22622.398594,-0.0144193,-0.00787915,-0.0109928,-0.0137395,-0.00996547,-0.0104481,-0.0173974,6.91639e-05,-0.000151228,-0.000377096,-0.000250132,-0.000212386,-0.000414813,-0.000581118,-3.53897e-06,-1.9478e-05,-2.73571e-05,-2.6959e-05,-2.08585e-05,-2.2068e-06,1.68424e-05
0.5,0.012278148,0.013268351250000001,-0.0160727775,21795.47856,0.0120187,0.0203269,0.0212875,0.0146924,0.0170322,0.0186842,0.0126178,4.51576e-05,-2.67505e-05,-0.000274149,-0.000240603,-0.000141719,-0.000332451,-0.000628914,-2.39576e-06,-2.12578e-05,-3.38695e-05,-3.18663e-05,-2.43995e-05,-9.67944e-06,4.74205e-06
0.52,-0.016649663999999998,-0.0314687187,0.00434686005,-13198.214936,0.000685031,0.00318318,0.00883098,0.00249602,0.000997439,0.00364752,0.000957027,0.000172195,0.00020835,2.7036e-05,-6.87195e-05,3.8578e-05,-0.000109134,-0.000493166,-2.22231e-07,-1.94418e-05,-3.63407e-05,-3.49596e-05,-2.54309e-05,-1.40953e-05,-6.47874e-06
0.54,-0.0026506587,0.0218815194,0.056664621000000005,-16482.35568,-0.00589238,-0.00258462,0.00461313,0.00175251,-0.00412812,-0.00202203,2.38577e-05,0.000120122,0.000214336,0.000161477,-2.62342e-05,7.27124e-06,-9.28793e-05,-0.000483357,2.70094e-06,-1.5215e-05,-3.44555e-05,-3.59091e-05,-2.49724e-05,-1.61154e-05,-1.6244e-05
0.56,0.0011285789999999998,0.00441480735,-0.06616905749999999,28335.8555,-0.0222892,-0.018726,-0.0141577,-0.0124723,-0.020393,-0.0205051,-0.0139837,-0.000161694,1.22926e-06,6.60318e-05,-0.000133432,-0.00023794,-0.00031815,-0.000622955,2.28521e-06,-1.30593e-05,-3.21804e-05,-3.75058e-05,-2.72791e-05,-2.02257e-05,-2.73071e-05
0.58,0.017603517,-0.0171229032,-0.0154338444,65229.9432,0.00515297,-0.00153046,0.00125683,0.0059438,-0.000768389,-0.00367369,0.00520085,-0.000333057,-0.000201336,-6.29765e-05,-0.000198717,-0.000449553,-0.000559938,-0.000710783,-2.6623e-06,-1.50604e-05,-3.21499e-05,-4.08273e-05,-3.4154e-05,-2.90066e-05,-4.06445e-05
0.6,-0.00042565415999999993,-0.00160753938,0.01015275105,73455.39412,0.00605984,-0.00626636,-0.00525321,-0.000633309,-0.00365264,-0.00791679,-0.000497472,-0.000220929,-0.000279304,-0.00010294,-0.000145612,-0.000493763,-0.000675843,-0.000663749,-8.20215e-06,-1.98668e-05,-3.3809e-05,-4.42705e-05,-4.35872e-05,-4.13644e-05,-5.43898e-05
0.62,0.0043834194,0.025483557599999998,0.02152260435,46303.5328,0.0238823,0.0199532,0.0150275,0.0177023,0.0191136,0.016123,0.0180871,7.84927e-05,-0.000142435,-5.19732e-06,2.50777e-05,-0.000339154,-0.00059378,-0.000487852,-9.62651e-06,-2.40842e-05,-3.48904e-05,-4.54759e-05,-5.19164e-05,-5.40607e-05,-6.59058e-05
0.64,-0.017159715,-0.01740090675,0.01122972825,-33043.58079,0.0237628,0.0346406,0.0241505,0.0237096,0.0285922,0.028691,0.0236143,0.000554943,0.000403504,0.000386582,0.000439196,0.000137904,-0.00014564,-7.08382e-05,-3.29216e-06,-2.14735e-05,-3.10766e-05,-4.08332e-05,-5.39289e-05,-6.14549e-05,-7.14927e-05
