time,wave_main,wave_second,wave_up,baseforce,acc_6,acc_12,acc_18,acc_24,acc_30,acc_36,acc_42,vel_6,vel_12,vel_18,vel_24,vel_30,vel_36,vel_42,dis_6,dis_12,dis_18,dis_24,dis_30,dis_36,dis_42
0.02,-0.011688995999999998,0.0046231908,-0.001669450575,-19116.12619,0.0118791,0.0124394,0.0123783,0.0123621,0.0123598,0.0123594,0.0123594,0.000118791,0.000124394,0.000123783,0.000123621,0.000123598,0.000123594,0.000123594,1.05252e-05,1.45779e-05,1.90659e-05,2.619e-05,3.36282e-05,4.10709e-05,4.11278e-05
0.04,-0.012381065999999998,0.00426914268,0.000727115415,-59842.3129,0.00834608,0.0121945,0.0120177,0.0118915,0.0118716,0.0118681,0.0118683,0.000321042,0.000370734,0.000367743,0.000366158,0.000365913,0.000365868,0.000365871,1.49236e-05,1.95292e-05,2.39812e-05,3.10878e-05,3.85233e-05,4.59655e-05,4.60225e-05
0.06,-0.01193145,0.0047821119,0.0009867196949999999,-98343.68626,0.00357309,0.0128925,0.0133597,0.0129035,0.0128094,0.0127955,0.0127973,0.000440234,0.000621605,0.000621517,0.000614108,0.000612723,0.000612503,0.000612527,2.25363e-05,2.94526e-05,3.38738e-05,4.08904e-05,4.83097e-05,5.57493e-05,5.58064e-05
0.08,-0.012898970999999999,0.00518973195,0.00043906511999999994,-130090.9366,5.15457e-06,0.01074,0.014067,0.0131794,0.0128514,0.0128096,0.0128156,0.000476016,0.00085793,0.000895784,0.000874936,0.000869331,0.000868554,0.000868656,3.16988e-05,4.42479e-05,4.90468e-05,5.57809e-05,6.31302e-05,7.05598e-05,7.06183e-05
0.1,-0.012951500999999999,0.00526516095,0.0005646108000000001,-158988.61911,-0.0004098,0.00620848,0.0140045,0.013443,0.0125819,0.0124527,0.0124645,0.00047197,0.00102741,0.0011765,0.00114116,0.00112366,0.00112118,0.00112146,4.11787e-05,6.31014e-05,6.97696e-05,7.59418e-05,8.30602e-05,9.04571e-05,9.05194e-05
0.12,-0.012629180999999998,0.0052528929,-0.00018043545,-182672.71661,-0.00102864,0.00182339,0.0120269,0.0137513,0.0121413,0.011757,0.0117633,0.000457585,0.00110773,0.00143681,0.0014131,0.0013709,0.00136328,0.00136374,5.04742e-05,8.44529e-05,9.59027e-05,0.000101484,0.000108006,0.000115302,0.000115371
0.14,-0.011957052,0.0051905556,0.001202512935,-204324.9331899999,-0.000239809,0.00121827,0.00975295,0.0154902,0.0136055,0.0126468,0.012583,0.000444901,0.00113815,0.00165461,0.00170552,0.00162836,0.00160731,0.0016072,5.94991e-05,0.000106912,0.000126817,0.000132671,0.000137998,0.000145008,0.000145081
0.16,-0.012827418,0.0049282881,0.0006771550499999999,-226910.7662000001,0.000646683,0.00157278,0.00684423,0.015862,0.015274,0.01343,0.0130907,0.00044897,0.00116606,0.00182058,0.00201904,0.00191716,0.00186808,0.00186394,6.84378e-05,0.000129954,0.000161569,0.000169916,0.000173454,0.000179762,0.000179792
0.18,-0.013446659999999997,0.0051752964,0.000518707995,-248239.0709,-0.000416665,0.000591677,0.00380239,0.013148,0.0157508,0.0131815,0.0121507,0.00045127,0.00118771,0.00192705,0.00230914,0.00222741,0.0021342,0.00211635,7.74402e-05,0.000153491,0.000199045,0.000213198,0.000214899,0.000219784,0.000219595
0.2,-0.012700734,0.00448711515,-1.5539228249999997e-05,-265675.8789,-0.00111942,1.88066e-05,0.00240755,0.00972925,0.0160201,0.0137841,0.0115676,0.000435909,0.00119381,0.00198915,0.00253791,0.00254512,0.00240385,0.00235353,8.6312e-05,0.000177307,0.000238207,0.000261669,0.000262624,0.000265165,0.000264294
