time,wave_main,wave_second,wave_up,baseforce,acc_6,acc_12,acc_18,acc_24,acc_30,acc_36,acc_42,vel_6,vel_12,vel_18,vel_24,vel_30,vel_36,vel_42,dis_6,dis_12,dis_18,dis_24,dis_30,dis_36,dis_42
0.02,-0.040209419999999996,-0.1053253275,0.06338379449999999,-83199.01052,0.0505115,0.0531916,0.0529026,0.0528236,0.0528125,0.0528107,0.0528099,0.000505115,0.000531916,0.000529026,0.000528236,0.000528125,0.000528107,0.000528099,1.43885e-05,1.86531e-05,2.31183e-05,3.02361e-05,3.76735e-05,4.51161e-05,4.51729e-05
0.04,-0.052903320000000004,-0.025281113100000002,0.0509591745,-191999.0661000001,-0.0103558,0.0054679,0.00491195,0.00434245,0.00425356,0.00424209,0.00423569,0.000906672,0.00111851,0.00110717,0.0010999,0.00109879,0.00109863,0.00109856,2.85063e-05,3.51574e-05,3.94803e-05,4.65175e-05,5.39426e-05,6.13835e-05,6.14394e-05
0.06,-0.0044309870999999995,-0.0914949435,0.0700250655,-311877.4198,0.044521,0.0751764,0.0781025,0.0762171,0.0758002,0.0757603,0.0757353,0.00124832,0.00192495,0.00193732,0.00190549,0.00189932,0.00189866,0.00189827,5.00563e-05,6.5592e-05,6.99251e-05,7.65713e-05,8.39237e-05,9.13564e-05,9.14076e-05
0.08,-0.07607925,-0.040054923150000005,0.042897425999999995,-393720.9761999999,-0.0493962,-0.021987,-0.00764487,-0.0107447,-0.0121817,-0.0123243,-0.0123743,0.00119957,0.00245685,0.00264189,0.00256021,0.00253551,0.00253302,0.00253188,7.45352e-05,0.00010941,0.000115717,0.000121228,0.000128272,0.000135673,0.000135709
0.1,0.011905338,-0.0623568075,0.0756751515,-453086.5480000001,0.0383191,0.0504521,0.0780721,0.0776944,0.0741068,0.0735596,0.0735018,0.0010888,0.0027415,0.00334616,0.00322971,0.00315476,0.00314537,0.00314315,9.7419e-05,0.000161393,0.000175598,0.000179128,0.000185175,0.000192457,0.000192459
0.12,-0.07408922999999999,-0.06569172300000001,0.051639744,-542185.6312999999,-0.0205694,-0.0180303,0.0110699,0.0208379,0.0148289,0.0130664,0.0129458,0.0012663,0.00306572,0.00423758,0.00421504,0.00404412,0.00401163,0.00400763,0.00012097,0.000219466,0.000251435,0.000253575,0.000257163,0.000264027,0.000263967
0.14,-0.013744907999999998,-0.055679607,0.0413523045,-599758.4362,0.00881198,0.013539,0.0316901,0.054668,0.0493792,0.0450916,0.0444815,0.00114872,0.0030208,0.00466518,0.0049701,0.0046862,0.00459321,0.0045819,0.00014512,0.000280331,0.000340463,0.000345426,0.000344467,0.000350075,0.000349862
0.16,-0.045660504,-0.0473022195,0.08631033449999999,-643420.6185,-0.00984656,-0.00346087,0.00563848,0.0342024,0.0362349,0.028759,0.0264986,0.00113838,0.00312158,0.00503847,0.0058588,0.00554234,0.00533172,0.0052917,0.000167991,0.000341755,0.000437499,0.000453715,0.000446752,0.000449325,0.000448598
0.18,-0.028476002999999996,-0.0860064,0.024939408,-708609.1901,0.00935254,0.0102574,0.0184468,0.0412439,0.0556681,0.0469898,0.041243,0.00113344,0.00318955,0.00527932,0.00661326,0.00646137,0.00608921,0.00596912,0.000190709,0.000404866,0.000540677,0.000578436,0.000566789,0.000563534,0.000561207
0.2,-0.044356127999999995,-0.01767895365,0.0616149105,-726024.0613999999,-0.0247465,-0.0251686,-0.0166032,-0.00198678,0.021621,0.0169852,0.00630989,0.000979498,0.00304044,0.00529776,0.00700583,0.00723426,0.00672896,0.00644465,0.000211839,0.000467166,0.000646448,0.000714627,0.000703745,0.000691716,0.000685344
0.22,-0.01028109,-0.08519488800000001,0.042323268,-767075.9869000001,0.0255594,0.0243367,0.0299537,0.0415177,0.0656476,0.0703108,0.056073,0.000987627,0.00303212,0.00543126,0.00740114,0.00810695,0.00760192,0.00706848,0.00023151,0.000527891,0.000753739,0.000858697,0.000857157,0.000835024,0.000820475
0.24,-0.059252309999999996,-0.045020709,0.027071616000000003,-802112.7654139,-0.0280407,-0.0313763,-0.0288963,-0.017264,0.00152444,0.0157619,0.00398245,0.000962814,0.00296172,0.00544184,0.00764368,0.00877867,0.00846264,0.00766903,0.000251014,0.00058783,0.00086247,0.00100914,0.00102601,0.00099567,0.00096785
0.26,-0.0026980683,-0.0289780011,0.0585631215,-799191.6418799998,0.00685294,0.0049393,0.00570282,0.0156689,0.030438,0.0488234,0.0485287,0.000750936,0.00269735,0.0052099,0.00762773,0.00909829,0.00910849,0.00819414,0.000268152,0.000644421,0.000968987,0.00116186,0.00120478,0.00117138,0.00112648
0.28,-0.038041818,-0.0738913755,0.02720192865,-820611.1671599998,-0.00382998,-0.00870621,-0.00900388,-0.00203184,0.0112171,0.0284743,0.0460851,0.000781166,0.00265968,0.00517689,0.0077641,0.00951484,0.00988147,0.00914028,0.000283473,0.000697991,0.00107285,0.00131578,0.00139091,0.00136128,0.00129983
0.3,-0.023300828999999995,-0.01813716315,0.033327683999999996,-862299.2313000001,0.011183,0.00561549,0.00393664,0.00824425,0.0195141,0.0359403,0.0702143,0.000854695,0.00262878,0.00512622,0.00782622,0.00982215,0.0105256,0.0103033,0.000299831,0.000750876,0.00117589,0.00147168,0.00158428,0.00156535,0.00149426
0.32,-0.036059498999999995,-0.0704363805,0.054501915000000005,-882852.0324000001,-0.0102312,-0.0085795,-0.0120664,-0.0105217,-0.00272223,0.0172146,0.0600507,0.000864213,0.00259914,0.00504492,0.00780345,0.00999007,0.0110572,0.0116059,0.00031702,0.000803155,0.0012776,0.00162798,0.00178241,0.00178118,0.00171335
0.34,-0.019358988,-0.036219488550000005,0.0104993343,-875221.7944,-0.0127998,-0.010761,-0.0142165,-0.0165007,-0.0112349,0.0148814,0.0573404,0.000633902,0.00240573,0.00478209,0.00753322,0.0098505,0.0113781,0.0127798,0.000332002,0.000853203,0.00137587,0.00178134,0.00198081,0.00200553,0.00195721
0.36,-0.015942038999999998,-0.02146930425,0.0264538989,-872490.6670000002,0.00574062,-0.000995257,-0.00189786,-0.00805094,-0.00273119,0.0281132,0.0656274,0.000563311,0.00228817,0.00462095,0.00728771,0.00971084,0.0118081,0.0140095,0.000343974,0.000900142,0.0014699,0.00192955,0.00217643,0.00223739,0.00222511
0.38,-0.027238028999999997,-0.0653878395,0.040019343,-886990.1181,-0.00384146,-0.013103,-0.0149853,-0.0224425,-0.0147339,0.0168467,0.0492255,0.000582302,0.00214719,0.00445212,0.00698277,0.00953619,0.0122577,0.015158,0.00035543,0.000944496,0.00156063,0.00207226,0.0023689,0.00247805,0.00251678
0.4,-0.015047957999999998,-0.029718375749999998,-0.02241115695,-877596.8403,-0.00525674,-0.0095546,-0.0184897,-0.0232701,-0.0122162,0.0162438,0.0446497,0.00049132,0.00192061,0.00411737,0.00652564,0.00926669,0.0125886,0.0160968,0.000366166,0.000985174,0.00164632,0.00220734,0.00255692,0.00272651,0.00282933
0.42,-0.014955341999999998,-0.018074349,0.037161813,-869506.0044000001,-0.000420035,-0.00610521,-0.0199355,-0.0212095,-0.00664094,0.0163618,0.0410446,0.000434552,0.00176401,0.00373312,0.00608085,0.00907812,0.0129146,0.0169537,0.000375425,0.00102202,0.00172483,0.00233341,0.00274037,0.00298155,0.00315983
0.44,-0.016601928,-0.044327976,-0.011748558899999999,-897906.2607,0.0155782,0.00555138,-0.00661292,-0.00637203,0.0105851,0.0281524,0.048137,0.000586134,0.00175847,0.00346763,0.00580503,0.00911756,0.0133598,0.0178456,0.000385632,0.00105725,0.00179684,0.00245227,0.00292233,0.00324429,0.00350783
0.46,-0.030162522,-0.0105871104,0.006844878300000001,-897615.1048999997,-0.025268,-0.0319779,-0.0419745,-0.0402765,-0.0236978,-0.00985536,0.00440339,0.000489236,0.00149421,0.00298176,0.00533855,0.00898643,0.0135427,0.018371,0.000396385,0.00108977,0.00186133,0.0025637,0.00310337,0.00351332,0.00386999
0.48,0.006466085999999999,-0.02403120255,0.000593733075,-909512.2719,0.0229422,0.0172736,0.0100284,0.0142594,0.0272559,0.0389912,0.0472979,0.000465978,0.00134717,0.0026623,0.00507838,0.00902201,0.0138341,0.018888,0.000405938,0.00111819,0.00191777,0.00266787,0.00328345,0.00378708,0.00424258
0.5,-0.043676502,-0.048017061,-0.0249006225,-928119.3158999996,-0.030217,-0.0391693,-0.0398427,-0.0343312,-0.0259813,-0.0164675,-0.0130734,0.00039323,0.00112821,0.00236415,0.00487766,0.00903476,0.0140593,0.0192302,0.00041453,0.00114294,0.00196803,0.00276743,0.00346402,0.00406602,0.00462376
0.52,0.009800363999999999,0.027748378350000002,-0.015404672400000001,-868164.1067299998,-0.0217625,-0.0301926,-0.0249129,-0.019791,-0.0147191,-0.00898599,-0.00853981,-0.000126565,0.00043459,0.0017166,0.00433644,0.00862776,0.0138048,0.0190141,0.000417196,0.00115857,0.00200884,0.00285957,0.00364065,0.00434466,0.00500621
0.54,-0.0005343933,-0.055101317999999996,-0.02485126215,-820510.6701700003,-0.000424007,-0.0131451,-0.00719908,-0.000993463,0.00166822,0.00226297,0.00157436,-0.00034843,1.21178e-06,0.00139548,0.00412859,0.00849725,0.0137376,0.0189444,0.000412446,0.00116293,0.00203996,0.00294422,0.0038119,0.00462008,0.00538579
0.56,-0.015667149,0.0347066169,-0.049859588999999996,-743102.1841180001,-0.0377098,-0.0544215,-0.0516942,-0.0431145,-0.0428612,-0.0471949,-0.04914,-0.000729768,-0.000674455,0.000806544,0.00368751,0.00808532,0.0132883,0.0184688,0.000401664,0.00115619,0.00206198,0.00302238,0.00397772,0.00489034,0.00575992
