time,GM_main,baseforce,acc_2,acc_4,acc_6,acc_8,acc_10,vel_2,vel_4,vel_6,vel_8,vel_10,dis_2,dis_4,dis_6,dis_8,dis_10
0.0,-0.0041580912,-239.061,0.00498504,0.00530874,0.00531758,0.00531781,0.00531783,4.98504e-05,5.30874e-05,5.31758e-05,5.31781e-05,5.31783e-05,4.98504e-07,5.30874e-07,5.31758e-07,5.31781e-07,5.31783e-07
0.02,-0.005354744999999999,-832.124,-6.88976e-05,0.00133088,0.00141518,0.00141862,0.00141895,9.90119e-05,0.000119483,0.000120503,0.000120542,0.000120546,1.98713e-06,2.25658e-06,2.26855e-06,2.26899e-06,2.26903e-06
0.04,-0.0015026792999999997,-742.701,-0.0135683,-0.0121421,-0.0118012,-0.0117781,-0.0117752,-3.73601e-05,1.13709e-05,1.66432e-05,1.69479e-05,1.69835e-05,2.60364e-06,3.56513e-06,3.64001e-06,3.64389e-06,3.64432e-06
0.06,0.011762843999999998,957.103,-0.010826,-0.0138571,-0.0131705,-0.0130783,-0.0130632,-0.000281303,-0.000248622,-0.000233074,-0.000231616,-0.0002314,-5.82987e-07,1.19262e-06,1.47571e-06,1.4972e-06,1.50015e-06
0.08,0.013219607999999999,2462.29,0.016944,0.00834827,0.0087297,0.0089617,0.00901548,-0.000220123,-0.00030371,-0.000277481,-0.000272783,-0.000271877,-5.59725e-06,-4.3307e-06,-3.62984e-06,-3.54679e-06,-3.53262e-06
0.1,-0.008847734999999999,418.373,0.0396761,0.0368578,0.0354039,0.0357408,0.0358695,0.000346078,0.00014835,0.000163855,0.000174242,0.000176972,-4.3377e-06,-5.8843e-06,-4.76611e-06,-4.5322e-06,-4.48167e-06
0.12,-0.036070361999999995,-5283.58,0.0183911,0.035858,0.0322169,0.0322999,0.032486,0.000926751,0.000875509,0.000840062,0.000854649,0.000860527,8.3906e-06,4.35429e-06,5.27306e-06,5.75672e-06,5.89332e-06
0.14,-0.033303458999999994,-7880.33,-0.0728965,-0.0452554,-0.0471557,-0.0479441,-0.047892,0.000381697,0.000781535,0.000690674,0.000698207,0.000706466,2.14751e-05,2.09247e-05,2.05804e-05,2.12853e-05,2.15633e-05
0.16,0.046933056,779.13,-0.107738,-0.112463,-0.106209,-0.107913,-0.108363,-0.00142465,-0.000795652,-0.000842973,-0.000860368,-0.00085608,1.10456e-05,2.07836e-05,1.90574e-05,1.96637e-05,2.00671e-05
0.18,0.10824138,16584.7,-0.00349693,-0.0680968,-0.0548725,-0.0558492,-0.0569257,-0.002537,-0.00260125,-0.00245379,-0.00249799,-0.00250896,-2.85709e-05,-1.31855e-05,-1.39102e-05,-1.39199e-05,-1.35833e-05
