time,GM_main,baseforce,acc_2,acc_4,acc_6,acc_8,acc_10,vel_2,vel_4,vel_6,vel_8,vel_10,dis_2,dis_4,dis_6,dis_8,dis_10
0.0,0.00024695475,-9.29263,0.000193775,0.000206358,0.000206702,0.000206711,0.000206711,1.93775e-06,2.06358e-06,2.06702e-06,2.06711e-06,2.06711e-06,1.93775e-08,2.06358e-08,2.06702e-08,2.06711e-08,2.06711e-08
0.02,-0.00020814629999999998,36.6043,-0.00144047,-0.00147942,-0.00147869,-0.00147862,-0.00147862,-1.05292e-05,-1.0667e-05,-1.06529e-05,-1.0652e-05,-1.06519e-05,-6.65365e-08,-6.53984e-08,-6.51883e-08,-6.5178e-08,-6.5177e-08
0.04,0.0014860073999999998,340.14,-0.0031977,-0.00372067,-0.0037365,-0.00373672,-0.00373672,-5.69108e-05,-6.26678e-05,-6.28048e-05,-6.28055e-05,-6.28052e-05,-7.40936e-07,-7.98747e-07,-7.99764e-07,-7.99753e-07,-7.99749e-07
0.06,0.0037803036,532.208,0.00703835,0.00598164,0.00587072,0.00586595,0.00586555,-1.85043e-05,-4.00581e-05,-4.14625e-05,-4.15132e-05,-4.15169e-05,-1.49509e-06,-1.82601e-06,-1.84244e-06,-1.84294e-06,-1.84297e-06
0.08,-0.005836694999999999,24.1329,0.00293574,0.00316424,0.00284197,0.00281399,0.00281036,8.12366e-05,5.14007e-05,4.56645e-05,4.52862e-05,4.52421e-05,-8.67765e-07,-1.71258e-06,-1.80042e-06,-1.80521e-06,-1.80572e-06
0.1,-0.0028410875999999997,-608.567,-0.00213009,0.00091162,0.000485737,0.000393085,0.000375879,8.92931e-05,9.21593e-05,7.89416e-05,7.73569e-05,7.71045e-05,8.37532e-07,-2.76981e-07,-5.54357e-07,-5.78779e-07,-5.82251e-07
0.12,-0.00042445719,-758.715,-0.00161845,0.00165602,0.00174415,0.00155572,0.00150316,5.18077e-05,0.000117836,0.00010124,9.68449e-05,9.58949e-05,2.24854e-06,1.82297e-06,1.24746e-06,1.16324e-06,1.14774e-06
0.14,-0.0015465036,-762.928,-0.00122879,-0.00155646,-0.000230335,-0.00042802,-0.000532893,2.33353e-05,0.000118831,0.000116379,0.000108122,0.000105598,2.99997e-06,4.18964e-06,3.42365e-06,3.21291e-06,3.16267e-06
0.16,0.0005384375999999999,-1260.4,0.00832935,0.00571998,0.00799756,0.00808921,0.00797699,9.4341e-05,0.000160466,0.000194051,0.000184734,0.000180039,4.17673e-06,6.98261e-06,6.52795e-06,6.14147e-06,6.01903e-06
0.18,-0.007901175,-2082.53,-0.00619074,-0.00637902,-0.00475208,-0.00399798,-0.00394507,0.000115727,0.000153876,0.000226505,0.000225646,0.000220358,6.27742e-06,1.0126e-05,1.07335e-05,1.02453e-05,1.0023e-05
