time,GM_main,baseforce,acc_2,acc_4,acc_6,acc_8,acc_10,vel_2,vel_4,vel_6,vel_8,vel_10,dis_2,dis_4,dis_6,dis_8,dis_10
0.0,-0.013207520999999998,-466.314,0.00972386,0.0103553,0.0103725,0.010373,0.010373,9.72386e-05,0.000103553,0.000103725,0.00010373,0.00010373,9.72386e-07,1.03553e-06,1.03725e-06,1.0373e-06,1.0373e-06
0.02,-0.010445003999999999,-1649.09,0.000406687,0.00317223,0.00333763,0.00334438,0.00334502,0.000198544,0.000238827,0.000240826,0.000240903,0.00024091,3.93021e-06,4.45933e-06,4.48277e-06,4.48362e-06,4.4837e-06
0.04,-0.0035123445,-2811.39,5.78977e-05,0.0047145,0.00543575,0.00548245,0.00548817,0.00020319,0.000317695,0.00032856,0.000329171,0.000329242,7.94755e-06,1.00245e-05,1.01766e-05,1.01844e-05,1.01852e-05
0.06,-0.005717865,-3782.95,0.000825053,0.00406156,0.00592881,0.00613049,0.00616225,0.000212019,0.000405455,0.000442206,0.000445301,0.000445746,1.20996e-05,1.72561e-05,1.78843e-05,1.79291e-05,1.79351e-05
0.08,-0.006480162,-4890.6,-0.00157193,-0.00186102,0.00124363,0.00184741,0.00197093,0.000204551,0.000427461,0.00051393,0.00052508,0.000527078,1.62653e-05,2.55852e-05,2.74457e-05,2.76329e-05,2.76634e-05
0.1,-0.0023815419,-5934.7,-0.00105573,-0.00307108,0.000152058,0.00146409,0.00181809,0.000178274,0.00037814,0.000527887,0.000558195,0.000564968,2.00936e-05,3.36412e-05,3.78638e-05,3.84656e-05,3.85838e-05
0.12,-0.0023902220999999996,-6770.76,-0.00231791,-0.00392913,-0.00244332,-0.000358658,0.000402299,0.000144538,0.000308138,0.000504975,0.000569249,0.000587172,2.33217e-05,4.0504e-05,4.81924e-05,4.97401e-05,5.01052e-05
0.14,-0.0013844817,-7265.02,-0.00523715,-0.00685605,-0.00806027,-0.00574921,-0.00454056,6.89869e-05,0.000200286,0.000399939,0.00050817,0.00054579,2.5457e-05,4.55882e-05,5.72416e-05,6.05143e-05,6.14348e-05
0.16,0.0026703497999999997,-7493.69,0.00233678,-0.000172558,-0.00317594,-0.00178064,-0.000477945,3.99832e-05,0.00013,0.000287577,0.000432872,0.000495605,2.65467e-05,4.88911e-05,6.41167e-05,6.99247e-05,7.18488e-05
0.18,-0.0030602855999999996,-7744.37,-0.00258416,-0.00508116,-0.00817805,-0.00878206,-0.00819471,3.75095e-05,7.74627e-05,0.000174037,0.000327245,0.000408878,2.73216e-05,5.09657e-05,6.87329e-05,7.75258e-05,8.08936e-05
0.2,0.002214777,-8071.74,0.00338396,0.00227244,-6.90066e-05,-0.00285955,-0.00381538,4.55076e-05,4.93754e-05,9.15661e-05,0.000210829,0.000288777,2.81518e-05,5.22341e-05,7.13889e-05,8.29066e-05,8.78702e-05
0.22,-0.0048756152999999995,-8569.29,-0.000290465,0.000125274,-0.00171275,-0.00579541,-0.00836207,7.64425e-05,7.33525e-05,7.37485e-05,0.000124279,0.000167003,2.93713e-05,5.34614e-05,7.3042e-05,8.62576e-05,9.2428e-05
0.24,-0.002326875,-8948.79,-0.00253661,-0.00147722,-0.00309577,-0.00714981,-0.0102593,4.81718e-05,5.98331e-05,2.56633e-05,-5.17318e-06,-1.9211e-05,3.06174e-05,5.47932e-05,7.40362e-05,8.74487e-05,9.39059e-05
0.26,-0.0006723024,-8957.47,-0.00105179,-0.000840858,-0.00197812,-0.00498389,-0.0070724,1.22877e-05,3.66523e-05,-2.50756e-05,-0.00012651,-0.000192528,3.1222e-05,5.57581e-05,7.4042e-05,8.61319e-05,9.17885e-05
0.28,-0.0021215235,-8830.59,-0.00276721,-0.00453306,-0.0049817,-0.00632647,-0.00655449,-2.59023e-05,-1.70869e-05,-9.46737e-05,-0.000239614,-0.000328797,3.10858e-05,5.59537e-05,7.28445e-05,8.24706e-05,8.65752e-05
0.3,0.00033867468,-8431.04,-0.00491694,-0.00827048,-0.00848146,-0.00777575,-0.00658149,-0.000102744,-0.000145122,-0.000229305,-0.000380636,-0.000460157,2.97994e-05,5.43317e-05,6.96047e-05,7.62681e-05,7.86857e-05
0.32,0.0033833145,-7562.38,-0.0020238,-0.00585786,-0.00651647,-0.00384642,-0.00224135,-0.000172151,-0.000286406,-0.000379285,-0.000496858,-0.000548385,2.70504e-05,5.00164e-05,6.35188e-05,6.74932e-05,6.86003e-05
0.34,0.0011859693,-6550.33,-8.23605e-05,-0.00348557,-0.00464535,-0.00107079,0.000396676,-0.000193213,-0.00037984,-0.000490903,-0.00054603,-0.000566832,2.33968e-05,4.33539e-05,5.4817e-05,5.70643e-05,5.74481e-05
0.36,-0.00040758230999999993,-5800.4,0.00340822,0.00192418,0.000966036,0.00364345,0.00495836,-0.000159954,-0.000395454,-0.000527696,-0.000520303,-0.000513282,1.98651e-05,3.5601e-05,4.4631e-05,4.6401e-05,4.6647e-05
0.38,-0.004886891399999999,-5116.16,-0.00322783,-0.00142224,-0.0013926,-0.000968388,-7.04603e-05,-0.00015815,-0.000390434,-0.000531962,-0.000493552,-0.000464403,1.66841e-05,2.77421e-05,3.40344e-05,3.62624e-05,3.68701e-05
0.4,-0.0005699403,-3839.98,-0.00513925,-0.00169586,-0.000375282,-0.00209817,-0.00238108,-0.000241821,-0.000421615,-0.00054964,-0.000524218,-0.000488918,1.26844e-05,1.96216e-05,2.32184e-05,2.60847e-05,2.73369e-05
0.42,0.0005515343999999999,-2153.65,0.00189923,0.00328467,0.0055809,0.0030411,0.00122599,-0.000274221,-0.000405727,-0.000497584,-0.000514789,-0.000500469,7.52395e-06,1.13482e-05,1.27461e-05,1.56947e-05,1.7443e-05
0.44,-0.004016148,-930.013,0.00530147,0.00453761,0.00678691,0.00486094,0.00247349,-0.000202214,-0.000327505,-0.000373906,-0.000435768,-0.000463474,2.7596e-06,4.01585e-06,4.03124e-06,6.1891e-06,7.80362e-06
0.46,-0.0050434257,-116.112,0.00039042,0.0011965,0.00190665,0.00132693,0.000106309,-0.000145295,-0.000270163,-0.000286971,-0.00037389,-0.000437676,-7.15495e-07,-1.96083e-06,-2.57753e-06,-1.90748e-06,-1.20789e-06
0.48,-0.0009223145999999999,887.528,-0.000369005,0.00255182,0.000990907,0.00176362,0.0026355,-0.000145081,-0.00023268,-0.000257995,-0.000342984,-0.000410258,-3.61926e-06,-6.98926e-06,-8.02719e-06,-9.07621e-06,-9.68723e-06
0.5,-0.0010038534,1830.71,0.00375395,0.00505911,0.00249637,0.00412728,0.00632328,-0.000111232,-0.000156571,-0.000223122,-0.000284075,-0.00032067,-6.18239e-06,-1.08818e-05,-1.28384e-05,-1.53468e-05,-1.69965e-05
0.52,-0.0029613048,2161.43,0.00434688,0.00317006,0.00206761,0.0037322,0.00555916,-3.02233e-05,-7.42791e-05,-0.000177483,-0.00020548,-0.000201846,-7.59693e-06,-1.31903e-05,-1.68444e-05,-2.02424e-05,-2.22217e-05
0.54,-0.0019378979999999997,1982.25,0.00247897,0.00234506,0.00388179,0.00481588,0.00515089,3.80353e-05,-1.91279e-05,-0.000117989,-0.00012,-9.47455e-05,-7.51881e-06,-1.41243e-05,-1.97991e-05,-2.34972e-05,-2.51876e-05
0.56,-0.0023689194,2021.83,-0.00832193,-0.00634114,-0.00331029,-0.00325007,-0.00420855,-2.03942e-05,-5.90887e-05,-0.000112274,-0.000104341,-8.53221e-05,-7.3424e-06,-1.49065e-05,-2.21017e-05,-2.57406e-05,-2.69883e-05
0.58,0.006104495999999999,2397.75,0.00476252,0.00579703,0.00848837,0.00822117,0.00707286,-5.59882e-05,-6.45299e-05,-6.04928e-05,-5.46303e-05,-5.6679e-05,-8.10623e-06,-1.61427e-05,-2.38294e-05,-2.73303e-05,-2.84083e-05
0.6,-0.0054221669999999994,1995.49,0.00944437,0.00959099,0.0111782,0.0111995,0.010905,8.60807e-05,8.93503e-05,0.000136173,0.000139576,0.0001231,-7.8053e-06,-1.58945e-05,-2.30726e-05,-2.64808e-05,-2.77441e-05
0.62,-0.008909240999999998,716.812,0.0020254,0.00582424,0.00646329,0.00692266,0.00770747,0.000200778,0.000243503,0.000312588,0.000320798,0.000309225,-4.93671e-06,-1.2566e-05,-1.8585e-05,-2.18771e-05,-2.34208e-05
0.64,-0.005247747,-516.993,0.00149653,0.00895992,0.00911038,0.00984235,0.0110251,0.000235998,0.000391344,0.000468325,0.000488448,0.000496551,-5.68949e-07,-6.21749e-06,-1.07759e-05,-1.37846e-05,-1.53631e-05
0.66,-0.008641695,-1336.0,-0.00649403,-0.00219404,-0.0015118,-0.00060573,5.75792e-05,0.000186023,0.000459003,0.000544311,0.000580814,0.000607378,3.65125e-06,2.28599e-06,-6.49498e-07,-3.09202e-06,-4.32377e-06
0.68,0.0015457385999999998,-1821.97,0.00153386,-0.00147727,0.000874732,0.0019265,0.00181768,0.000136421,0.00042229,0.00053794,0.000594021,0.00062613,6.87569e-06,1.10989e-05,1.0173e-05,8.65633e-06,8.0113e-06
0.7000000000000001,-0.0013331909999999998,-2618.97,0.00252158,-0.00375363,-0.000402971,0.000694235,0.000434063,0.000176975,0.000369981,0.000542658,0.000620229,0.000648647,1.00097e-05,1.90216e-05,2.0979e-05,2.07988e-05,2.07591e-05
0.72,-0.0009784248,-3721.54,-0.00544713,-0.00887029,-0.00748644,-0.00642807,-0.006097,0.00014772,0.000243742,0.000463764,0.00056289,0.000592018,1.32566e-05,2.51589e-05,3.10432e-05,3.263e-05,3.31657e-05
0.74,0.0047421380999999995,-4439.92,-0.00110539,-0.000911494,-0.00375574,-0.00285331,-0.00190694,8.21946e-05,0.000145924,0.000351342,0.000470077,0.000511979,1.55557e-05,2.90555e-05,3.91943e-05,4.29597e-05,4.42057e-05
0.76,-0.0004933928699999999,-4589.56,-0.00555701,-0.00528724,-0.010847,-0.010682,-0.0098312,1.55706e-05,8.39366e-05,0.000205314,0.000334723,0.000394597,1.65334e-05,3.13541e-05,4.47608e-05,5.10077e-05,5.32715e-05
0.78,0.005773506,-3635.63,-0.0139101,-0.0169857,-0.0213859,-0.0229865,-0.0230749,-0.0001791,-0.000138793,-0.000117016,-1.96225e-06,6.55362e-05,1.48981e-05,3.08056e-05,4.56438e-05,5.43353e-05,5.78728e-05
