time,GM_main,baseforce,acc_2,acc_4,acc_6,acc_8,acc_10,vel_2,vel_4,vel_6,vel_8,vel_10,dis_2,dis_4,dis_6,dis_8,dis_10
0.0,-0.048142979999999995,-2128.2,0.0443786,0.0472602,0.0473389,0.047341,0.0473412,0.000443786,0.000472602,0.000473389,0.00047341,0.000473412,4.43786e-06,4.72602e-06,4.73389e-06,4.7341e-06,4.73412e-06
0.02,-0.04766980199999999,-8955.44,0.0316578,0.0462145,0.0470222,0.0470544,0.0470575,0.00120415,0.00140735,0.001417,0.00141736,0.0014174,2.09172e-05,2.35255e-05,2.36378e-05,2.36418e-05,2.36422e-05
0.04,-0.048041796,-18463.7,0.0135786,0.0440903,0.0479103,0.0481447,0.0481728,0.00165651,0.0023104,0.00236633,0.00236936,0.0023697,4.95238e-05,6.0703e-05,6.14711e-05,6.1509e-05,6.15132e-05
0.06,-0.049823277,-27830.2,0.00241019,0.0347528,0.0456868,0.0467586,0.0469219,0.0018164,0.00309883,0.0033023,0.00331839,0.00332065,8.4253e-05,0.000114795,0.000118157,0.000118386,0.000118417
0.08,-0.049269365999999995,-37460.1,0.00373207,0.0180765,0.0388439,0.0422745,0.0429426,0.00187782,0.00362712,0.0041476,0.00420872,0.00421929,0.000121195,0.000182055,0.000192656,0.000193658,0.000193816
0.1,-0.046103031,-48452.0,0.00943293,0.00592628,0.0324918,0.0405774,0.0426105,0.00200947,0.00386715,0.00486096,0.00503724,0.00507482,0.000160068,0.000256997,0.000282742,0.000286117,0.000286757
0.12,-0.047101967999999994,-60992.0,0.00980384,0.00591106,0.0270001,0.0412962,0.0460069,0.00220184,0.00398552,0.00545588,0.00585597,0.005961,0.000202181,0.000335524,0.00038591,0.000395049,0.000397115
0.14,-0.05337354,-74296.0,-0.00025518,0.00528563,0.0110951,0.0298111,0.0381125,0.00229733,0.00409749,0.00583683,0.00656705,0.00680219,0.000247173,0.000416354,0.000498838,0.000519279,0.000524747
0.16,-0.05162526,-86761.1,-0.0117713,-0.00401692,-0.0118175,0.00497429,0.0156752,0.00217706,0.00411018,0.00582961,0.0069149,0.00734007,0.000291917,0.000498431,0.000615502,0.000654099,0.00066617
0.18,-0.040651743,-97585.5,-0.00814509,-0.00978656,-0.0195718,-0.0127316,-0.00408886,0.0019779,0.00397214,0.00551571,0.00683733,0.00745593,0.000333467,0.000579254,0.000728955,0.000791621,0.00081413
0.2,-0.038865212999999996,-108746.0,0.0143437,0.00217826,-0.000926015,-0.00793074,-0.00741645,0.00203989,0.00389606,0.00531074,0.0066307,0.00734088,0.000373644,0.000657936,0.00083722,0.000926302,0.000962098
0.22,-0.058502099999999994,-122762.0,0.0199972,0.0100977,0.0102846,-0.00701315,-0.0174982,0.0023833,0.00401882,0.00540432,0.00648126,0.00709173,0.000417876,0.000737085,0.00094437,0.00105742,0.00110642
0.24,-0.07102872,-138264.0,-0.00347001,0.00179279,-0.00427138,-0.02401,-0.0410584,0.00254857,0.00413772,0.00546445,0.00617103,0.00650617,0.000467195,0.00081865,0.00105306,0.00118394,0.0012424
0.26,-0.06263718,-151986.0,-0.0132619,0.000748303,-0.0140676,-0.0304594,-0.0442811,0.00238125,0.00416313,0.00528106,0.00562634,0.00565277,0.000516493,0.000901659,0.00116051,0.00130192,0.00136399
0.28,-0.06335576999999999,-165116.0,0.0167322,0.020369,0.00501449,-0.00665431,-0.0101604,0.00241595,0.00437431,0.00519053,0.0052552,0.00510836,0.000564465,0.000987033,0.00126523,0.00141073,0.0014716
0.3,-0.0930597,-181499.0,0.0254693,0.0170522,0.0101744,0.00368889,0.00848915,0.00283797,0.00474852,0.00534242,0.00522555,0.00509164,0.000617004,0.00107826,0.00137056,0.00151554,0.0015736
0.32,-0.10587294,-199672.0,-0.0130833,-0.0163136,-0.0144863,-0.0132085,-0.00817488,0.00296183,0.0047559,0.0052993,0.00513035,0.00509479,0.000675002,0.00117331,0.00147698,0.0016191,0.00167547
0.34,-0.08679078,-215002.0,-0.0261042,-0.0222605,-0.0170476,-0.00616277,-0.0052567,0.00256995,0.00437016,0.00498396,0.00493664,0.00496047,0.00073032,0.00126457,0.00157981,0.00171977,0.00177602
0.36,-0.09047042999999999,-228890.0,0.0136119,0.00812592,0.0151253,0.0319091,0.0328191,0.00244503,0.00422882,0.00496474,0.0051941,0.00523609,0.00078047,0.00135056,0.0016793,0.00182108,0.00187799
0.38,-0.13008161999999998,-244342.0,-0.0104659,-0.0233428,-0.012287,0.00246975,0.00940929,0.00247649,0.00407665,0.00499312,0.00553789,0.00565838,0.000829685,0.00143361,0.00177887,0.0019284,0.00198693
0.4,-0.10892682,-253758.0,-0.120642,-0.128247,-0.115141,-0.107269,-0.0959851,0.00116541,0.00256075,0.00371885,0.00448989,0.00479262,0.000866104,0.00149998,0.00186599,0.00202867,0.00209144
0.42,-0.009566886,-248495.0,-0.108247,-0.133231,-0.126596,-0.123735,-0.116988,-0.00112347,-5.40357e-05,0.00130148,0.00217985,0.00266289,0.000866523,0.00152505,0.0019162,0.00209537,0.002166
